batch,barcode,treatment_1,reagent_1,concentration_1,treatment_2,reagent_2,concentration_2,replicate,culture,condition,WNT,WNT_Conc,EGF,EGF_Conc,WNT_EGF_Ratio,EGF_WNT_Ratio,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,116Cd_GFP,127I_IdU,141Pr_pPDPK1_S241,142Nd_cCaspase 3_D175,143Nd_C-MYC_1,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,152Sm_pAKT_T308,153Eu_pCREB_S133,156Gd_pNF-kB p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38 MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_cCaspase 8_D387,173Yb_Cyclin B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA 1,193Ir_DNA 2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28
B1,1,WNT-0,WNT,0,EGF-0,EGF,0,1,WNT-0_EGF-0,WNT-0_EGF-0_1,WNT-0,0,EGF-0,0,-,-,-0.04979350585753543,-0.0908028407144705,-0.14894526767218186,-0.025954873882952374,0.06002971855582743,-0.06764409778308564,-0.029271125989138898,-0.03561148434141478,-0.046257486616391896,-0.08860210167212754,-0.09678510002860408,-0.05437184967823742,-0.033502712593902265,-0.047729239190699706,-0.035550024319695596,-0.03541235334120539,-0.12315850609318582,-0.10597580439865897,-0.07604505674055034,-0.05216577742161228,-0.05337113163419532,0.036118811288464274,-0.031202834133753406,-0.09420063556948247,-0.07470159571507705,-0.1025150565404126,-0.06248985179368975,-0.11938454455547787,-0.10159203054709087,-0.06820028793377751,-0.06542519399320308,-0.10285433689870496,-0.046233919087257526,-0.09464888212304216,-0.19127959948195905,-0.031789759756356104,-0.058680564129883116,-0.04730363135325412,-0.0460995421844542,-0.14331716477616296,-0.11840769724414316,0.017209928443787853
B1,2,WNT-0,WNT,0,EGF-0,EGF,0,2,WNT-0_EGF-0,WNT-0_EGF-0_2,WNT-0,0,EGF-0,0,-,-,-0.06860080849750987,0.10856151309594805,-0.03262083631155446,-0.0436769592192381,0.1019245819194437,0.03953364970150873,0.04294688541381603,0.030069076200642954,-0.0283845430881372,0.04373005198264687,0.05989208448415281,0.059891950626392014,0.032635570761922195,0.057500336191163355,0.03689435679860155,0.044253030927718,-0.034914820625248574,0.08269128936000372,0.07043286801548534,0.05403637097227255,0.03930414455000562,0.04814961676362346,0.0909893387340065,0.0294715237085854,0.10799939213148578,0.04054379749290572,-0.023201551911013456,0.07058532627239089,0.05341986287273249,0.028556894802074614,0.022303377665750468,0.0711205184475949,0.03494061428397137,0.11208722508309049,0.06185040147455526,0.023246120529858784,0.07391929340370931,0.053631865560240764,0.05560682109342782,0.12884739863206215,0.09875288402024017,0.015404320965038187
B1,3,WNT-0,WNT,0,EGF-0,EGF,0,3,WNT-0_EGF-0,WNT-0_EGF-0_3,WNT-0,0,EGF-0,0,-,-,0.0836769523510614,-0.03369962047139997,0.16018386776176974,0.061954164234161994,-0.07793988372273593,0.05318643254256694,-0.03141536486615408,0.018251938711656947,0.07111856770173179,0.05520065423197638,0.06605022120019297,0.03231338077648879,0.05116506604007946,0.03530711762586021,0.05899344316076435,0.024826426303439515,0.14337568105809878,0.052679607777974244,0.05203541040183161,0.03911775201740275,0.05175605642821351,-0.022338072444872084,-0.07106049969326758,0.09249045330956063,-0.046825296526511614,0.07761796977670998,0.059125728116400024,0.07005526993681199,0.06507512126057108,0.05008123865705205,0.06366926378652232,0.06213916096182032,0.06279335749942003,-0.027717534840783712,0.1786834251578937,0.020711979082481707,0.0678169441052896,0.04477705651254914,0.0438714363326371,0.053291430771208556,0.07011553791560515,0.010987593828634684
B1,7,WNT-100,WNT,100,EGF-0,EGF,0,1,WNT-100_EGF-0,WNT-100_EGF-0_1,WNT-100,100,EGF-0,0,-,0.0,0.19027193460020986,-0.24611984567679068,-0.7011436141410625,-0.1070210577209635,-0.17258666055603789,-0.452335999000314,0.15763986618629455,-0.12741191192901857,-0.16362305399904586,-0.2137082870928916,-0.4083326544381205,-0.2671733920182667,-0.36826677732310015,-0.3793408347193247,-0.20462010951654044,-0.2744437502901728,-0.4098187503112002,-0.3255303602380284,-0.4095463922163187,-0.2555527799799448,-0.4135400507383129,-0.35230654260908634,-0.5773000145993695,-0.5171774328962979,-0.5547962325795258,-0.22138367193537248,-0.04930394540018025,-0.3944658221801696,-0.22931758794312063,-0.08759991857283078,-0.2355703863046157,-0.29880981602978873,-0.10355162101670973,-0.4394501599264674,0.6671261709552856,-0.20492109312764847,-0.3747587414738271,-0.04094301257807554,-0.03976335755835666,-0.6395078434184407,-0.5984217941427579,0.06509438980800938
B1,8,WNT-100,WNT,100,EGF-0,EGF,0,2,WNT-100_EGF-0,WNT-100_EGF-0_2,WNT-100,100,EGF-0,0,-,0.0,0.23047610371756022,-0.25111288147625066,-0.5438063360991137,-0.06364034271000836,-0.2932780223254527,-0.543146400948078,0.04244728610591737,-0.13308256120924306,-0.18634290681363735,-0.29328664468374877,-0.44993483755219416,-0.2604977129207425,-0.36964568133124653,-0.25325096989297513,-0.24003559980152195,-0.31874207937902677,-0.4850129060003755,-0.41258074985970944,-0.4093830142545993,-0.3133513625932533,-0.5233372099569712,-0.42128639417742086,-0.4205763748265027,-0.5112126225312799,-0.4945905983785126,-0.18703400876329995,-0.07479864952517548,-0.42054126475786474,-0.21592791265585148,-0.0901800076547476,-0.2446789663230331,-0.2959729318749206,-0.10673768976855008,-0.43305974041486595,0.6774989854277982,-0.18442445224442658,-0.4472933588429373,-0.07988245050750897,-0.07664894680298491,-0.4822394284190358,-0.5891281190800819,0.054426929031151955
B1,9,WNT-100,WNT,100,EGF-0,EGF,0,3,WNT-100_EGF-0,WNT-100_EGF-0_3,WNT-100,100,EGF-0,0,-,0.0,0.1011784548991381,-0.3266223153528334,-0.8220159966411495,-0.18082080449944993,-0.3634628284356258,-0.5217020921399185,0.10827166863631943,-0.18888393518289612,-0.2006443797019983,-0.3258954183589396,-0.5020870518034356,-0.3535531607831296,-0.4638139282893179,-0.32151877818016766,-0.2933796762487628,-0.29083365168171327,-0.5444482907783234,-0.42769228515933494,-0.3845804694671614,-0.33365983351219697,-0.49238138832670697,-0.42300492790884925,-0.5984420113107018,-0.6364289578724173,-0.6212910431864369,-0.2619238148504421,-0.19137129803191957,-0.49075153228801305,-0.33979094867536297,-0.07966889323414285,-0.31609933030646914,-0.3892400670242023,-0.10706734031119837,-0.46335428398713585,0.5351388702887423,-0.22106951016074866,-0.4692319400700916,-0.15001602254179314,-0.14095387835606996,-0.6065052796996567,-0.7339427320000425,0.09059063029274589
B1,31,WNT-100,WNT,100,EGF-40,EGF,40,1,WNT-100_EGF-40,WNT-100_EGF-40_1,WNT-100,100,EGF-40,40,2.5,0.4,0.4402239420248076,-0.3543494500384624,-0.12810949727722043,0.0743579726569793,0.14867137557809584,0.1818901793324491,0.09076666985088849,0.037386295226440804,0.10253880659516619,0.06931766961730187,0.0923812680068864,0.23466323416428322,0.18684466298629243,0.26735285565568295,0.1228128168152757,0.09515872609637663,0.1223691001954165,0.057733990414939027,0.18193247290357187,0.131311163463516,0.11053754084300371,0.16310077976168963,0.05499726335362533,0.06620472552976106,0.22318558629688412,0.07613554209649626,0.04947218061145536,0.12908738049588991,-0.08344992192868908,0.25495418331369923,-0.04559834824016008,0.1148070241620367,0.09572190128546632,-0.17856977682083394,0.1650078266404609,0.03043007675139765,0.23000418400766204,-0.059634883316437445,-0.05549169438145252,-0.43859967587987353,-0.19042008167225696,0.011720585242140242
B1,32,WNT-100,WNT,100,EGF-40,EGF,40,2,WNT-100_EGF-40,WNT-100_EGF-40_2,WNT-100,100,EGF-40,40,2.5,0.4,0.7335108845736521,-0.39958906025925467,0.31775401536618086,0.08847226405862635,0.34404569620473113,0.49946436089233287,-0.10847600849841646,0.06409434990246271,0.2859939057284411,0.16499008346273858,0.2653567530726867,0.6145947598702988,0.530897806535056,0.6913213841362496,0.3622353032187061,0.20452297947155665,0.29104957223031347,0.25504434706177403,0.566636287477102,0.36744830179091764,0.3810501145007989,0.3451042388241742,0.4378277711650472,0.313593687001511,0.6704142178136635,0.1671234251749733,0.11616650760511313,0.29175954565789697,0.1034040202918256,0.5303783439414999,0.13579499140365553,0.3835236792825488,0.1336951751255582,0.2592110938851888,0.48312705147363266,0.18877340772861934,0.3064536181807562,0.091806016049079,0.09297214507251031,-0.16069697479053538,0.4939318561034285,0.05249041395126891
B1,33,WNT-100,WNT,100,EGF-40,EGF,40,3,WNT-100_EGF-40,WNT-100_EGF-40_3,WNT-100,100,EGF-40,40,2.5,0.4,0.5970181998051555,-0.4430103090780282,0.2541706964909499,0.07511483506788577,-0.2289091135943274,0.1830597802143148,-0.18357282785918405,-0.052988572364376714,0.062337864132335795,0.06992706146596425,0.10367577491834157,0.1707486979483177,0.1417921969003034,0.20894874089262686,0.1054796440120614,0.12694316811005085,0.14773806043526777,0.08588366913797363,0.23366804234067812,0.0995119651885672,0.12684346370385197,0.19516984623275888,0.12239058691966344,0.15452926576649537,0.169553916012065,0.10797500982274987,0.05715053322182369,0.13007344488217154,-0.058888526361209274,0.25184113018277776,0.0674069415129713,0.12475977406463541,0.042755826229832546,0.10529345511376309,0.48014219232856475,0.051233958745654694,0.30702898978507437,-0.07048717403239517,-0.06679460925780717,-0.3496227771901375,0.14438373251118253,0.051191421349482
B1,34,WNT-100,WNT,100,EGF-25,EGF,25,1,WNT-100_EGF-25,WNT-100_EGF-25_1,WNT-100,100,EGF-25,25,4.0,0.25,0.563456428027497,-0.3100519385205409,0.29332210590894536,0.11237927208448321,0.07548017900560966,0.3093623905698006,-0.13682198998141082,0.059764590658492184,0.1533868236867355,0.10192132796046832,0.16071621793895233,0.28267456350005266,0.193616695444215,0.37758691555934837,0.1335293233115158,0.1564060989658407,0.24095778378260552,0.1630481910035118,0.3891790020131286,0.22096962733601047,0.20475665574922025,0.2417269311939515,0.1342251605199347,0.206107325003809,0.3803532425250016,0.12833305441936016,0.11239592707788729,0.1796507778440742,0.050913187699096016,0.2897781050812482,0.12548307555758823,0.21000158499168026,0.09225846928647177,0.21863044928602063,0.606175569700067,0.07365557645976625,0.30361411928645043,-0.08553435435460857,-0.08385957427975403,0.052747347499191924,0.23519840594124702,0.048223069362769856
