pPDPK1
pNDRG1
pMKK4
pBTK
pSRC
p4EBP1
pAKT
pCREB
pNF-kB_p65
pMKK3_MKK6
pP38_MAPK
pMAPKAPK2
pAMPKa
pBAD
pP90RSK
pP120-Catenin
Beta-catenin_Active
pGSK-3b
pERK
pSMAD2_3
pMEK1_2
DiMeHH3
