p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.0606917839668933e-60,0.798716912861595,0.63,0.429,2.706249017613132e-56,cocultWTMacFib,Rgs1
1.1224763865028111e-60,-0.5709762062471184,0.451,0.706,2.8638862525232723e-56,cocultWTMacFib,Nceh1
1.160912148241476e-60,-0.5643781337214235,0.146,0.407,2.961951255023302e-56,cocultWTMacFib,Sh3bp5
1.4683770718562122e-60,-0.8451316632850728,0.302,0.551,3.7464172611339397e-56,cocultWTMacFib,Igfbp4
1.5596730608375588e-60,-0.5074049986152409,0.662,0.837,3.9793498474209476e-56,cocultWTMacFib,Canx
3.9286177067162325e-60,0.586464281858455,0.628,0.455,1.0023475216915796e-55,cocultWTMacFib,Trappc6a
6.244285724196763e-60,-0.4856460849852511,0.571,0.807,1.5931670596715622e-55,cocultWTMacFib,Ogt
7.814910419267176e-60,-0.5295913515777751,0.19,0.459,1.9938962443718274e-55,cocultWTMacFib,Oas3
9.767153498795868e-60,-0.5449314572906312,0.531,0.751,2.491991543682778e-55,cocultWTMacFib,Mob1a
1.0170106516243652e-59,0.8371179375257815,0.11,0.022,2.5948009765544054e-55,cocultWTMacFib,Cstdc4
1.31132074918761e-59,0.6465511742674437,0.88,0.802,3.345703759477268e-55,cocultWTMacFib,Fos
2.286414093048579e-59,0.5395280890548042,0.88,0.808,5.833556917004144e-55,cocultWTMacFib,Dbi
2.7523606758183184e-59,0.3900846432677474,0.971,0.923,7.022373028282857e-55,cocultWTMacFib,Rpl36
3.2463758810159756e-59,0.47715374350261897,0.881,0.842,8.282803422824161e-55,cocultWTMacFib,Ubl5
3.6612619998740034e-59,-0.5140516653964028,0.357,0.625,9.341343866478532e-55,cocultWTMacFib,Abhd12
4.137680833100143e-59,-0.8678175262073169,0.824,0.914,1.0556878877571705e-54,cocultWTMacFib,Selenop
4.441082144973043e-59,-0.49544093664541866,0.231,0.499,1.1330976984684222e-54,cocultWTMacFib,Ogdh
4.590015619925171e-59,-0.4834791446067014,0.287,0.566,1.1710965852677082e-54,cocultWTMacFib,Rasa4
8.113015989192266e-59,0.38084569566839255,0.968,0.943,2.069954899482515e-54,cocultWTMacFib,Rps11
1.7924457732177804e-58,-0.543314731206836,0.452,0.69,4.573246145787845e-54,cocultWTMacFib,Degs1
1.996957757877481e-58,-0.6545017750157904,0.531,0.742,5.095038023448605e-54,cocultWTMacFib,Anxa4
2.837116175974723e-58,-0.5210391400604696,0.306,0.583,7.238618211381909e-54,cocultWTMacFib,Ier5
3.4849645293074596e-58,0.4682371204612772,0.89,0.884,8.891538500075052e-54,cocultWTMacFib,Atp6v0e
4.338073780649464e-58,-0.5116141737114414,0.404,0.668,1.1068161443949042e-53,cocultWTMacFib,Mpp1
8.452253657185169e-58,-0.5824306897783131,0.443,0.692,2.156507998094224e-53,cocultWTMacFib,Celf2
9.711656263654155e-58,-0.5551596376186168,0.385,0.637,2.477831979108721e-53,cocultWTMacFib,Ptprj
1.8234643234832672e-57,-0.4832166337387609,0.649,0.838,4.652386874935208e-53,cocultWTMacFib,Shisa5
2.1564581947417044e-57,0.7397730793737836,0.861,0.705,5.501987438063984e-53,cocultWTMacFib,Thbs1
3.0298416387740194e-57,-0.5587612987092334,0.714,0.862,7.730337957168033e-53,cocultWTMacFib,Serpinb6a
1.4410287628302746e-56,0.467039512994125,0.364,0.187,3.6766407854851626e-52,cocultWTMacFib,Atp5g2
2.6614418333430626e-56,-0.47732607045372366,0.604,0.805,6.79040269359149e-52,cocultWTMacFib,Gltp
4.392842384473215e-56,-0.5344631059594125,0.553,0.77,1.1207898059744961e-51,cocultWTMacFib,Cotl1
6.108759985436042e-56,-0.4485406808432957,0.735,0.886,1.5585890226841517e-51,cocultWTMacFib,Capzb
6.404231568952765e-56,-0.5330194480939433,0.252,0.515,1.6339756425026083e-51,cocultWTMacFib,Znfx1
6.592503713665933e-56,0.25494936612617547,0.101,0.02,1.682011397504726e-51,cocultWTMacFib,Pmepa1
8.797020996227988e-56,-0.5890065421456675,0.353,0.598,2.2444719369776088e-51,cocultWTMacFib,Nrp2
9.290980938911954e-56,-0.5553452190945288,0.373,0.623,2.3705008767539959e-51,cocultWTMacFib,Vat1
9.666251382785962e-56,1.1416721561802596,0.911,0.861,2.4662473778040103e-51,cocultWTMacFib,Fabp5
2.3440110922503203e-55,-0.39067844648679806,0.998,1,5.980509900767467e-51,cocultWTMacFib,Ftl1
3.1365650273294777e-55,-0.5168712252614089,0.466,0.703,8.00263201072843e-51,cocultWTMacFib,Arap1
