"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.41208139934189e-50,0.42536418016406,0.745,0.344,4.52988886796407e-46,"Fib_CD34-","Bag3"
5.65312182615081e-49,0.425353981196114,0.987,0.861,1.06165627895112e-44,"Fib_CD34-","Sec13"
2.39080262360741e-57,0.425324225804669,0.997,0.971,4.48992732713473e-53,"Fib_CD34-","Akr1a1"
1.13162908729448e-50,0.425061389170367,0.997,0.947,2.12519942593904e-46,"Fib_CD34-","Ssr2"
3.18161752036113e-46,0.424793614903985,0.981,0.89,5.9750777032382e-42,"Fib_CD34-","Tpm3"
8.04444008772148e-48,0.423913532546046,0.96,0.784,1.51074584847409e-43,"Fib_CD34-","Tmed1"
4.55020121678032e-46,0.423637028751707,0.926,0.649,8.54527788511344e-42,"Fib_CD34-","Rab10"
1.97777222105259e-35,0.423492472053069,0.764,0.436,3.71425623113677e-31,"Fib_CD34-","Acsl4"
1.00002478848625e-45,0.423017847067011,0.937,0.681,1.87804655277717e-41,"Fib_CD34-","Calm3"
2.51611885828754e-60,0.422178380577939,0.522,0.121,4.72527121586401e-56,"Fib_CD34-","Serpina3i"
1.1160559336992e-62,0.420142871671786,0.739,0.296,2.0959530434871e-58,"Fib_CD34-","Sike1"
1.25970951994906e-43,0.420016847870716,0.873,0.564,2.36573447846433e-39,"Fib_CD34-","Atp1a1"
2.63533895040795e-55,0.419781161918215,0.634,0.224,4.94916654886613e-51,"Fib_CD34-","E2f6"
1.85451891042471e-54,0.419479205959701,0.778,0.367,3.4827865137776e-50,"Fib_CD34-","Taf12"
1.4601749292006e-44,0.418730336123552,0.836,0.465,2.74220851703872e-40,"Fib_CD34-","Htra1"
2.66325840897787e-74,0.418595499864938,0.575,0.111,5.00159929206044e-70,"Fib_CD34-","Gja1"
9.18025615718565e-42,0.418439980825055,0.968,0.788,1.72405210631946e-37,"Fib_CD34-","Lmna"
3.98246379876405e-110,0.418292154336189,0.531,0.008,7.47906701407888e-106,"Fib_CD34-","Pde3b"
7.11301394222702e-49,0.418236635157592,0.983,0.887,1.33582401835023e-44,"Fib_CD34-","Ndufs5"
6.9006860417212e-44,0.418214323459883,0.884,0.564,1.29594883863524e-39,"Fib_CD34-","Hikeshi"
6.52674642844786e-47,0.416573339726371,0.99,0.914,1.22572297926251e-42,"Fib_CD34-","Yy1"
3.05637496622741e-44,0.415614907461497,0.933,0.671,5.73987218657507e-40,"Fib_CD34-","Cox19"
2.0123702891265e-43,0.415533862902049,0.86,0.529,3.77923140297957e-39,"Fib_CD34-","St3gal1"
1.16680089711448e-35,0.414930825925596,0.909,0.659,2.19125208478098e-31,"Fib_CD34-","Renbp"
1.46768730920663e-45,0.414732785360184,0.869,0.522,2.75631676669004e-41,"Fib_CD34-","Rab6a"
1.16718698008511e-53,0.414279403651302,0.745,0.323,2.19197714859983e-49,"Fib_CD34-","Tuba1c"
1.30486961856635e-50,0.414137288034659,0.825,0.421,2.4505451436676e-46,"Fib_CD34-","Coq7"
3.08255929153121e-48,0.413943367659501,0.995,0.923,5.78904634949561e-44,"Fib_CD34-","Psmd4"
3.81410584123869e-56,0.412928865474222,0.995,0.98,7.16289076984626e-52,"Fib_CD34-","Micos10"
8.10133558061747e-87,0.412912717241028,0.589,0.088,1.52143082203996e-82,"Fib_CD34-","Gm9732"
2.56498634040651e-54,0.412681260507243,0.999,0.97,4.81704434728343e-50,"Fib_CD34-","Stub1"
3.47404481349641e-70,0.412662540168374,0.61,0.148,6.52425615974625e-66,"Fib_CD34-","Cxxc5"
4.19423264442625e-41,0.412394005797491,0.954,0.719,7.8767689062325e-37,"Fib_CD34-","Gpx7"
2.14225624682389e-44,0.412037914776021,0.942,0.732,4.02315723153526e-40,"Fib_CD34-","Ostf1"
1.3005798112465e-39,0.411479509526542,0.945,0.784,2.44248888552092e-35,"Fib_CD34-","Aga"
