logFC,logCPM,F,PValue,FDR,Nhood,SpatialFDR,curatedCLUST,curatedCLUST_fraction
3.088831875521836,10.452455344740503,16.207919343180077,0.0017137276004895183,0.004883524455940411,1,0.005464271544709951,Transit Amplifying,0.9130434782608695
1.9659291987803467,11.26629779870889,11.347711723482695,0.005655684554832051,0.01298417721743133,2,0.014561065179636018,Transit Amplifying,0.463855421686747
-0.616895356646227,10.317458976948316,1.380318847167662,0.2627156701121423,0.33665608670030817,3,0.3541438051768202,Early Absorptive,0.5975609756097561
2.4003010765118735,11.080085288234692,31.700321057034607,1.0849937683276658e-4,7.55760875159624e-4,4,8.201445060341416e-4,Stem (Stroma),0.9121621621621622
0.6310833242413281,10.540559336867972,1.292690269911793,0.27795872056707666,0.35286036956723904,5,0.37023395054945263,Transit Amplifying,0.59375
2.8415213654746596,11.710792712692925,38.56430108730613,4.715669142431145e-5,4.8040879388517286e-4,6,5.135005797574784e-4,Stem (Stroma),0.9913419913419913
2.623367744990656,9.717257593720758,8.896873982823976,0.011535755331546415,0.023463557166536596,7,0.026169094469584844,Stem (Stroma),0.9019607843137255
4.331136613358845,11.161285030085551,63.28514033949858,3.849523479804728e-6,2.024324411194026e-4,8,2.1617086429902757e-4,Stem (Stroma),1
-0.6809964599802354,10.392417262622697,1.45971559539969,0.2504681844122702,0.32350486576228243,9,0.34117808646630676,Early Absorptive,0.8390804597701149
0.0011666364779354182,10.209299071188003,4.318818858814534e-6,0.9983758259225102,0.9983758259225102,10,0.9983758259225101,Secretory,0.9868421052631579
-0.45171399325984046,9.994791415897902,0.6225809451024057,0.4453703032897969,0.5238836961128788,11,0.5406470101310643,Late Absorptive,0.515625
0.5955902597629243,10.837988857422088,1.0943903428424862,0.31631235146171843,0.39178505538191566,12,0.40599404170819775,Late Absorptive,1
-0.6803643588541003,10.732257539051814,1.7500779404324813,0.2107576976304827,0.28158610421121866,13,0.29954049598146876,Transit Amplifying,0.8018018018018018
-1.6361621821300483,10.15291007129961,6.572189160417796,0.024996141566899305,0.04487192814322232,14,0.049877802292554396,Late Absorptive,1
3.9749241646685807,10.933230472749209,51.132962813980136,1.1296258860147884e-5,2.5413614828294936e-4,15,2.771070030340287e-4,Stem (Stroma),0.8880597014925373
3.5126806677640854,10.547630720673139,25.636394459637337,2.7377085349572847e-4,0.0013048143017486472,16,0.0014370666565052515,Stem (Stroma),0.9090909090909091
-0.25999982886713785,10.700540276716223,0.34926895400340996,0.5654357672451049,0.6365057324651388,17,0.6503690717247372,Transit Amplifying,0.9099099099099099
1.765948134869245,10.480307373963525,8.891593378252091,0.011386762035450478,0.023258674333063004,18,0.02592634211835684,Stem (Stroma),1
3.6281763824363398,10.81340725360986,33.66710878471665,8.447287950690143e-5,6.258672436193152e-4,19,6.745876753039709e-4,Stem (Stroma),0.9083333333333333
0.8037878522001567,11.069201260619112,3.77313545964429,0.07615423886092335,0.11710510315406138,20,0.12883075520230702,Transit Amplifying,0.8206896551724138
0.3962739465632118,10.810642972646422,0.6331101027811035,0.44182046128906727,0.5218603999283911,21,0.5386095554809975,Transit Amplifying,0.5121951219512195
-0.07784127261075176,10.009901639980987,0.018274014804814602,0.894697766812141,0.9172058867319433,22,0.920042863608861,Early Absorptive,0.6153846153846154
0.8030488379840327,10.574343879788605,1.541259136687417,0.2383758545959459,0.3123413528869709,23,0.32974882483685936,Early Absorptive,0.9393939393939394
8.084998333919028,11.199810394849363,92.04904885197821,1.0671054188579653e-6,2.024324411194026e-4,24,2.1617086429902757e-4,Stem (Stroma),1
0.09996047859431655,10.75156443316335,0.025911652585781163,0.8748202664787712,0.8990901855992415,25,0.9018220435881559,Late Absorptive,1
2.528358265248495,10.363274246825412,16.393992411255383,0.0015965224990241902,0.004565494163876193,26,0.005106009396055559,ER Stress,0.8941176470588236
-1.7377231580032688,10.272722703453063,9.639308973693517,0.009205449592329093,0.019386153534233102,27,0.02160958672642446,Late Absorptive,1
-0.23545477479192836,10.816506712694148,0.2726965779751423,0.6111243994488629,0.6804185594956602,28,0.692644063809066,Transit Amplifying,0.9166666666666666
2.877698004738975,10.851690702712306,16.961709633241824,0.0014532242727541887,0.004229920651052371,29,0.004737945870350439,Stem (Stroma),0.9448818897637795
2.4732239855633793,10.634372893534064,20.13478636862876,7.334642206151085e-4,0.0025655508145979115,30,0.002837146989782402,Stem (Stroma),0.8037383177570093
-0.27166208377138784,10.179870371273672,0.20300605815047643,0.6604150498552424,0.724412201388994,31,0.7350792737431162,Late Absorptive,0.918918918918919
3.3675360779467667,11.237908141294351,50.11138351416375,1.2483373405419563e-5,2.677355085636038e-4,32,2.928459637512187e-4,Transit Amplifying,0.5595238095238095
-0.8540664219502038,10.364743168587722,3.0460461653765405,0.10632762327473344,0.15622155603562082,33,0.17063104291189068,ER Stress,1
2.2750521428846473,10.45346724258451,12.497406952557617,0.004075424478044693,0.009797849408868508,34,0.010961240596356229,Transit Amplifying,0.9247311827956989
-0.3945198835571372,10.485087508982408,0.3418494568881988,0.5696975398959242,0.640418613814039,35,0.6536586400094015,Stem (Oncogene) 1,1
0.823954169463398,10.81251988849116,2.2488581978032287,0.15980207081513811,0.21962679209837702,36,0.23601893768546883,Stem (Oncogene) 1,1
3.746728931545429,10.780606859377341,26.999744745370545,2.3047073605117363e-4,0.0011691480233970513,37,0.0012818590171335765,Stem (Stroma),1
0.9471820682051445,11.207569169643758,3.6052866393055023,0.0821387847961332,0.12459038217525079,38,0.13685375602199065,Transit Amplifying,0.8417721518987342
