"genotype","media","meanEMD"
"AK","WNT5A",0.167170470675006
"AK","SEMA3A",0.0796420253068475
"AK","SEMA3A",0.0569235412910391
"AK","SEMA3A",0.152891193232982
"AK","TGFB2",0.19267457342671
"AK","TGFB2",0.116031900655681
"AK","TGFB2",0.164891904880739
"AK","TGFB1",0.209231812416415
"AK","TGFB1",0.282240845346895
"AK","TGFB1",0.306193995693126
"AK","IGF1",0.119856666030037
"AK","IGF1",0.107852856529929
"AK","IGF1",0.19620145834199
"AK","NRG1",0.0896653496145177
"AK","NRG1",0.11088283847813
"AK","NRG1",0.192274924171841
"AK","EREG",0.103573266931691
"AK","EREG",0.193897270107412
"AK","EREG",0.230969994242664
"AK","OPN",0.108469322075095
"AK","OPN",0.192730648459114
"AK","OPN",0.343469900524374
