"genotype","media","meanEMD"
"AK","WNT5A",0.0516931775503952
"AK","WNT5A",0.194276013831363
"AK","SEMA3A",0.0473496567478055
"AK","SEMA3A",0.0479200970605288
"AK","SEMA3A",0.190952284717577
"AK","TGFB2",0.0974563128907466
"AK","TGFB2",0.0809061562554051
"AK","TGFB2",0.108582251897697
"AK","TGFB1",0.193042642781116
"AK","TGFB1",0.185808393284436
"AK","TGFB1",0.247821185865324
"AK","IGF1",0.0692524786050328
"AK","IGF1",0.0689110752184809
"AK","IGF1",0.132337467950153
"AK","NRG1",0.0716960921416608
"AK","NRG1",0.0934828110407066
"AK","NRG1",0.190741562731498
"AK","EREG",0.04618135047654
"AK","EREG",0.0913793027620702
"AK","EREG",0.129451224972527
"AK","OPN",0.111227019173906
"AK","OPN",0.150193644758343
"AK","OPN",0.278135625123674
