"condition","meanEMD"
"B2_AKP_EREG_1",0.106080475137361
"B2_AKP_EREG_2",0.098059463376506
"B2_AKP_EREG_3",0.121844054464034
"B2_AKP_OPN_1",0.0741061666962291
"B2_AKP_OPN_2",0.149344792512738
"B2_AKP_OPN_3",0.214232259945868
"B5_WT_Ctrl_1",0.0350843963775413
"B5_WT_Ctrl_2",0.0449471683910258
"B5_WT_Ctrl_3",0.0447422206911919
"B5_WT_EGF_2",0.243562809400942
"B5_WT_EGF_3",0.254845351424637
"B5_WT_EGF_4",0.253348325886134
"B5_WT_WNT5A_1",0.0775839117994084
"B5_WT_WNT5A_2",0.207541272569626
"B5_WT_WNT5A_3",0.154903519058113
"B5_WT_SEMA3A_1",0.0854739985452716
"B5_WT_SEMA3A_2",0.112462627026522
"B5_WT_SEMA3A_3",0.103370424517551
"B5_WT_IGF1_1",0.0379415772558847
"B5_WT_IGF1_2",0.0710722820906506
"B5_WT_IGF1_3",0.0905243240139507
"B5_WT_NRG1_1",0.141947368491791
"B5_WT_NRG1_2",0.174515690822549
"B5_WT_NRG1_4",0.16382649974851
"B5_WT_EREG_1",0.263685424640949
"B5_WT_EREG_2",0.233853913757924
"B5_WT_EREG_3",0.223267471138694
"B5_WT_OPN_1",0.104741545135338
"B5_WT_OPN_2",0.0562247473547406
"B5_WT_OPN_3",0.0914541409040481
"B2_AK_Ctrl_1",0.119281697898561
"B2_AK_Ctrl_2",0.0411459326279606
"B2_AK_Ctrl_3",0.119584460052519
"B2_AK_WNT3A_1",0.194425588186988
"B2_AK_WNT3A_2",0.249427040096797
"B2_AK_WNT3A_3",0.185143086449609
"B2_AK_EGF_1",0.0560980415617822
"B2_AK_EGF_2",0.0633494464800229
"B2_AK_EGF_3",0.141718626802502
"B2_AK_WNT5A_1",0.0399366340473434
"B2_AK_WNT5A_2",0.0564031519931197
"B2_AK_WNT5A_3",0.185805531595001
"B2_AK_SEMA3A_1",0.0574410219225061
"B2_AK_SEMA3A_2",0.0507336733825633
"B2_AK_SEMA3A_3",0.179058193628641
"B2_AK_TGFB2_1",0.127212019308235
"B2_AK_TGFB2_2",0.0918829513804912
"B2_AK_TGFB2_3",0.126179018454898
"B2_AK_TGFB1_1",0.198101758292147
"B2_AK_TGFB1_2",0.215943534553954
"B2_AK_TGFB1_3",0.266062688936512
"B2_AK_IGF1_1",0.0850662871753467
"B2_AK_IGF1_2",0.0810803818783084
"B2_AK_IGF1_3",0.152294964947602
"B2_AK_NRG1_1",0.0773114851019286
"B2_AK_NRG1_2",0.0989203196149013
"B2_AK_NRG1_3",0.191220738181605
"B2_AK_EREG_1",0.0641163243687748
"B2_AK_EREG_2",0.12341616755749
"B2_AK_EREG_3",0.161175840369445
"B2_AK_OPN_1",0.110365238830527
"B2_AK_OPN_2",0.163486458414834
"B2_AK_OPN_3",0.298552586186393
