Gene_Symbol,GeneID,Control,Yap KO,YapTg Dox-,YapTg Dox+,Combined fold change,Fold_log2
Slc10a5,ENSMUSG00000058921,7.173486875,8.72942971,9.694982524,1.591707953,7.41206482,2.889875498
Neu3,ENSMUSG00000035239,5.915100818,5.794682535,3.310573155,0.441397978,7.347512716,2.877255951
Nr0b2,ENSMUSG00000037583,1.241451234,2.191625206,0.924005821,0.222992887,7.31510087,2.870877758
Car8,ENSMUSG00000041261,2.904219167,4.549963269,4.682760102,1.007687132,7.280390932,2.86401592
Gm14295,ENSMUSG00000078877,0.014941765,0.10886075,0.959094508,0.964313712,7.246236134,2.85723182
Tert,ENSMUSG00000021611,3.973749153,6.150919544,3.696138051,0.791091367,7.23204528,2.85440371
Acsm5,ENSMUSG00000030972,1.108183488,1.658450924,0.863963671,0.179598467,7.199192818,2.847835159
Ypel2,ENSMUSG00000018427,4.827444723,5.773506066,4.274643857,0.718144945,7.118854986,2.831645213
Dhrs3,ENSMUSG00000066026,10.36467574,12.66351972,8.47004552,1.461561134,7.080557761,2.823863011
Ffar2,ENSMUSG00000051314,0.526857402,0.850843484,0.298603973,0.068158587,7.075083905,2.822747257
4930430O22Rik,ENSMUSG00000057354,1.434002854,1.47947771,3.716011251,0.542272714,7.069971755,2.821704451
Gpr133,ENSMUSG00000044017,1.237109661,0.958344533,0.639213082,0.070252372,7.048523199,2.817321017
Ces1c,ENSMUSG00000057400,1.179672602,2.822521067,0.977179254,0.331713098,7.048347649,2.817285085
Slc6a19,ENSMUSG00000021565,55.48231808,60.81882949,53.88537157,8.381179015,7.047729462,2.817158545
Cyp2c67,ENSMUSG00000062624,1.277934992,0.971986864,1.490504795,0.161085053,7.037684068,2.815100751
Slc13a2,ENSMUSG00000001095,12.11158692,25.21842272,10.84136183,3.249814295,6.946118123,2.796206945
Abcb9,ENSMUSG00000029408,3.626853789,4.950385038,2.842582159,0.559565406,6.933796638,2.793645524
Cyp4f15,ENSMUSG00000073424,1.293241838,1.456029955,1.423837712,0.232877853,6.883714769,2.78318732
Sord,ENSMUSG00000027227,43.07236698,71.35055235,23.44699877,5.643025429,6.88293795,2.783024504
2010001E11Rik,ENSMUSG00000039339,6.403905306,9.778137848,7.889002441,1.755919392,6.860073508,2.778224036
Aldob,ENSMUSG00000028307,3280.418215,5019.019847,2472.541245,554.1384434,6.82676515,2.771202122
Slc12a8,ENSMUSG00000035506,10.79132323,13.34513851,11.70829705,2.125589455,6.811813205,2.768038874
Khk,ENSMUSG00000029162,214.6798875,321.5486323,129.8239833,28.61592594,6.795202988,2.764516648
Slc5a1,ENSMUSG00000011034,270.6261643,377.600958,229.8921861,47.38387665,6.769505203,2.759050388
Bace2,ENSMUSG00000040605,2.42151111,3.683939392,2.114680504,0.476520696,6.75132484,2.755170636
Amigo2,ENSMUSG00000048218,1.939599994,2.124321727,0.968947165,0.157336528,6.744948702,2.753807471
Kbtbd11,ENSMUSG00000055675,4.695330651,5.082775194,5.661079234,0.909220957,6.7400717,2.752763939
Kctd14,ENSMUSG00000051727,3.805050464,6.339619188,5.256416541,1.30098722,6.731618467,2.75095341
Slc7a15,ENSMUSG00000020600,0.846013724,1.4471044,0.989928274,0.253272189,6.685573696,2.741051365
Rep15,ENSMUSG00000040121,6.833417878,9.308561943,7.161415482,1.46115438,6.676477351,2.739087107
Slit2,ENSMUSG00000031558,0.716779115,1.095236619,0.637585741,0.146648351,6.643302453,2.731900598
Amica1,ENSMUSG00000048534,29.37765249,36.41658591,31.5479827,5.888525496,6.641209383,2.731445984
Dio1,ENSMUSG00000034785,6.491592616,10.38214235,8.088538781,1.949016219,6.637283078,2.730592806
2810408A11Rik,ENSMUSG00000018570,2.937646894,3.342616276,2.875828639,0.49372465,6.62773484,2.728515885
Adh4,ENSMUSG00000037797,50.85814743,40.13671868,30.84972742,3.674178123,6.626320718,2.728208032
Cox7a1,ENSMUSG00000074218,70.4591787,114.5688993,40.41321039,9.927761993,6.619133784,2.726642431
Gm10925,ENSMUSG00000090378,0.637128211,0.860792839,3.286327394,0.671167847,6.615329704,2.725813061
Usp2,ENSMUSG00000032010,2.372123335,2.960886511,1.776727297,0.336384728,6.59278632,2.720888323
5330417C22Rik,ENSMUSG00000040412,6.112283376,9.126963098,8.850287665,2.007417079,6.58328393,2.718807421
Scgn,ENSMUSG00000021337,1.184260784,1.87398337,0.720742991,0.175620377,6.494173797,2.699145995
Dll4,ENSMUSG00000027314,2.426115421,2.806262123,3.015834468,0.538049406,6.483389605,2.696748271
Sp5,ENSMUSG00000075304,2.350569679,3.937967831,2.712963473,0.702243165,6.472252621,2.694267919
Tfpi2,ENSMUSG00000029664,1.113695354,1.254744652,1.745472823,0.303920818,6.470555806,2.693889642
Atp2c2,ENSMUSG00000034112,3.346525742,4.004557731,4.287997965,0.795574473,6.449619884,2.689214136
Ces2e,ENSMUSG00000031886,242.4298979,311.2749091,176.4303429,35.30870446,6.415779533,2.681624567
1300002K09Rik,ENSMUSG00000028327,0.905170363,1.189153736,2.130998921,0.436527555,6.413265886,2.681059221
Prss30,ENSMUSG00000024124,2.809223203,5.111785165,4.358602872,1.237128236,6.410898896,2.680526657
Fmo1,ENSMUSG00000040181,3.201339705,3.515061941,1.055317251,0.182207161,6.359439169,2.668899542
Zg16,ENSMUSG00000049350,511.8601037,777.9808382,503.3219085,120.3440426,6.356804549,2.668301731
Msi1,ENSMUSG00000054256,2.447200043,3.870071834,5.20301373,1.296499263,6.346470305,2.665954436
Gm10684,ENSMUSG00000074385,14.59226463,17.73023987,16.01172215,3.081699157,6.313057135,2.658338808
Mep1a,ENSMUSG00000023914,4.071039389,3.649065643,6.517839239,0.927534542,6.298685499,2.655050778
Lct,ENSMUSG00000026354,32.72541809,50.11826332,14.94189858,3.656362234,6.258458541,2.645807365
Gm10109,ENSMUSG00000062073,0.962549861,1.471220858,0.471147241,0.115815405,6.217917562,2.636431489
Tox,ENSMUSG00000041272,1.516784528,2.218309189,2.462678866,0.579688035,6.21314709,2.635324209
Hemgn,ENSMUSG00000028332,1.651016428,1.317360804,1.02809809,0.132274806,6.201700115,2.632663766
Fam46c,ENSMUSG00000044468,4.157538126,7.341303405,5.818290457,1.669154014,6.155111428,2.621784974
Slc43a2,ENSMUSG00000038178,7.32259663,10.19393286,7.661299466,1.734468078,6.149117398,2.620379351
Rassf4,ENSMUSG00000042129,1.916147887,2.923680404,3.483448146,0.871192229,6.100932633,2.6090298
Mcoln2,ENSMUSG00000011008,3.157488493,4.307152315,4.08139642,0.91318857,6.096727242,2.608035004
Vim,ENSMUSG00000026728,3.38541359,3.459424631,2.258836189,0.381216557,6.054874171,2.598096979
Syce3,ENSMUSG00000078938,2.255377907,1.628951431,0.402437224,0.048049481,6.049204369,2.596745402
Slc27a6,ENSMUSG00000024600,0.296899182,0.647744206,1.065721787,0.38493725,6.040159971,2.594586759
Mro,ENSMUSG00000064036,1.051287541,1.32015311,1.204753343,0.250735484,6.033719634,2.593047661
Ttc36,ENSMUSG00000039438,0.413871243,1.063096682,0.407810077,0.173896355,6.023861601,2.590688624
