,batch,replicate,condition,culture,format,cell-type,media,W,E,N,R,genotype,A,K,P
53,B1,3,AK-Fib_WER_Org_3,AK-Fib_WER,co-culture,Org,WER,1,1,0,1,AK,1,1,0
54,B1,1,AK-Fib_WNR_Org_1,AK-Fib_WNR,co-culture,Org,WNR,1,0,1,1,AK,1,1,0
55,B1,2,AK-Fib_WNR_Org_2,AK-Fib_WNR,co-culture,Org,WNR,1,0,1,1,AK,1,1,0
56,B1,3,AK-Fib_WNR_Org_3,AK-Fib_WNR,co-culture,Org,WNR,1,0,1,1,AK,1,1,0
57,B1,1,AK-Fib_W_Org_1,AK-Fib_W,co-culture,Org,W,1,0,0,0,AK,1,1,0
58,B1,2,AK-Fib_W_Org_2,AK-Fib_W,co-culture,Org,W,1,0,0,0,AK,1,1,0
59,B1,3,AK-Fib_W_Org_3,AK-Fib_W,co-culture,Org,W,1,0,0,0,AK,1,1,0
60,B1,1,AKP-Fib_Ctrl_Org_1,AKP-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,AKP,1,1,1
61,B1,2,AKP-Fib_Ctrl_Org_2,AKP-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,AKP,1,1,1
62,B1,3,AKP-Fib_Ctrl_Org_3,AKP-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,AKP,1,1,1
63,B1,1,AKP-Fib_ENR_Org_1,AKP-Fib_ENR,co-culture,Org,ENR,0,1,1,1,AKP,1,1,1
64,B1,2,AKP-Fib_ENR_Org_2,AKP-Fib_ENR,co-culture,Org,ENR,0,1,1,1,AKP,1,1,1
65,B1,3,AKP-Fib_ENR_Org_3,AKP-Fib_ENR,co-culture,Org,ENR,0,1,1,1,AKP,1,1,1
66,B1,1,AKP-Fib_E_Org_1,AKP-Fib_E,co-culture,Org,E,0,1,0,0,AKP,1,1,1
67,B1,2,AKP-Fib_E_Org_2,AKP-Fib_E,co-culture,Org,E,0,1,0,0,AKP,1,1,1
68,B1,3,AKP-Fib_E_Org_3,AKP-Fib_E,co-culture,Org,E,0,1,0,0,AKP,1,1,1
69,B1,1,AKP-Fib_N_Org_1,AKP-Fib_N,co-culture,Org,N,0,0,1,0,AKP,1,1,1
70,B1,2,AKP-Fib_N_Org_2,AKP-Fib_N,co-culture,Org,N,0,0,1,0,AKP,1,1,1
71,B1,3,AKP-Fib_N_Org_3,AKP-Fib_N,co-culture,Org,N,0,0,1,0,AKP,1,1,1
72,B1,1,AKP-Fib_R_Org_1,AKP-Fib_R,co-culture,Org,R,0,0,0,1,AKP,1,1,1
73,B1,2,AKP-Fib_R_Org_2,AKP-Fib_R,co-culture,Org,R,0,0,0,1,AKP,1,1,1
74,B1,3,AKP-Fib_R_Org_3,AKP-Fib_R,co-culture,Org,R,0,0,0,1,AKP,1,1,1
75,B1,1,AKP-Fib_WENR_Org_1,AKP-Fib_WENR,co-culture,Org,WENR,1,1,1,1,AKP,1,1,1
76,B1,2,AKP-Fib_WENR_Org_2,AKP-Fib_WENR,co-culture,Org,WENR,1,1,1,1,AKP,1,1,1
77,B1,3,AKP-Fib_WENR_Org_3,AKP-Fib_WENR,co-culture,Org,WENR,1,1,1,1,AKP,1,1,1
78,B1,1,AKP-Fib_WEN_Org_1,AKP-Fib_WEN,co-culture,Org,WEN,1,1,1,0,AKP,1,1,1
79,B1,2,AKP-Fib_WEN_Org_2,AKP-Fib_WEN,co-culture,Org,WEN,1,1,1,0,AKP,1,1,1
80,B1,3,AKP-Fib_WEN_Org_3,AKP-Fib_WEN,co-culture,Org,WEN,1,1,1,0,AKP,1,1,1
81,B1,1,AKP-Fib_WER_Org_1,AKP-Fib_WER,co-culture,Org,WER,1,1,0,1,AKP,1,1,1
82,B1,2,AKP-Fib_WER_Org_2,AKP-Fib_WER,co-culture,Org,WER,1,1,0,1,AKP,1,1,1
83,B1,3,AKP-Fib_WER_Org_3,AKP-Fib_WER,co-culture,Org,WER,1,1,0,1,AKP,1,1,1
84,B1,1,AKP-Fib_WNR_Org_1,AKP-Fib_WNR,co-culture,Org,WNR,1,0,1,1,AKP,1,1,1
85,B1,2,AKP-Fib_WNR_Org_2,AKP-Fib_WNR,co-culture,Org,WNR,1,0,1,1,AKP,1,1,1
86,B1,3,AKP-Fib_WNR_Org_3,AKP-Fib_WNR,co-culture,Org,WNR,1,0,1,1,AKP,1,1,1
87,B1,1,AKP-Fib_W_Org_1,AKP-Fib_W,co-culture,Org,W,1,0,0,0,AKP,1,1,1
88,B1,2,AKP-Fib_W_Org_2,AKP-Fib_W,co-culture,Org,W,1,0,0,0,AKP,1,1,1
89,B1,3,AKP-Fib_W_Org_3,AKP-Fib_W,co-culture,Org,W,1,0,0,0,AKP,1,1,1
90,B1,1,AKP_Ctrl_Org_1,AKP_Ctrl,monoculture,Org,Ctrl,0,0,0,0,AKP,1,1,1
91,B1,2,AKP_Ctrl_Org_2,AKP_Ctrl,monoculture,Org,Ctrl,0,0,0,0,AKP,1,1,1
92,B1,3,AKP_Ctrl_Org_3,AKP_Ctrl,monoculture,Org,Ctrl,0,0,0,0,AKP,1,1,1
93,B1,1,AKP_ENR_Org_1,AKP_ENR,monoculture,Org,ENR,0,1,1,1,AKP,1,1,1
94,B1,2,AKP_ENR_Org_2,AKP_ENR,monoculture,Org,ENR,0,1,1,1,AKP,1,1,1
95,B1,3,AKP_ENR_Org_3,AKP_ENR,monoculture,Org,ENR,0,1,1,1,AKP,1,1,1
96,B1,1,AKP_E_Org_1,AKP_E,monoculture,Org,E,0,1,0,0,AKP,1,1,1
97,B1,2,AKP_E_Org_2,AKP_E,monoculture,Org,E,0,1,0,0,AKP,1,1,1
98,B1,3,AKP_E_Org_3,AKP_E,monoculture,Org,E,0,1,0,0,AKP,1,1,1
99,B1,1,AKP_N_Org_1,AKP_N,monoculture,Org,N,0,0,1,0,AKP,1,1,1
100,B1,2,AKP_N_Org_2,AKP_N,monoculture,Org,N,0,0,1,0,AKP,1,1,1
101,B1,3,AKP_N_Org_3,AKP_N,monoculture,Org,N,0,0,1,0,AKP,1,1,1
102,B1,1,AKP_R_Org_1,AKP_R,monoculture,Org,R,0,0,0,1,AKP,1,1,1
103,B1,2,AKP_R_Org_2,AKP_R,monoculture,Org,R,0,0,0,1,AKP,1,1,1
104,B1,3,AKP_R_Org_3,AKP_R,monoculture,Org,R,0,0,0,1,AKP,1,1,1
105,B1,1,AKP_WENR_Org_1,AKP_WENR,monoculture,Org,WENR,1,1,1,1,AKP,1,1,1
106,B1,2,AKP_WENR_Org_2,AKP_WENR,monoculture,Org,WENR,1,1,1,1,AKP,1,1,1
107,B1,3,AKP_WENR_Org_3,AKP_WENR,monoculture,Org,WENR,1,1,1,1,AKP,1,1,1
108,B1,1,AKP_WEN_Org_1,AKP_WEN,monoculture,Org,WEN,1,1,1,0,AKP,1,1,1
109,B1,2,AKP_WEN_Org_2,AKP_WEN,monoculture,Org,WEN,1,1,1,0,AKP,1,1,1
110,B1,3,AKP_WEN_Org_3,AKP_WEN,monoculture,Org,WEN,1,1,1,0,AKP,1,1,1
111,B1,1,AKP_WER_Org_1,AKP_WER,monoculture,Org,WER,1,1,0,1,AKP,1,1,1
112,B1,2,AKP_WER_Org_2,AKP_WER,monoculture,Org,WER,1,1,0,1,AKP,1,1,1
113,B1,3,AKP_WER_Org_3,AKP_WER,monoculture,Org,WER,1,1,0,1,AKP,1,1,1
114,B1,1,AKP_WNR_Org_1,AKP_WNR,monoculture,Org,WNR,1,0,1,1,AKP,1,1,1
