,batch,replicate,condition,culture,format,cell-type,media,W,E,N,R,genotype,A,K,P
239,B1,3,KP-Fib_W_Org_3,KP-Fib_W,co-culture,Org,W,1,0,0,0,KP,0,1,1
240,B1,1,KP_Ctrl_Org_1,KP_Ctrl,monoculture,Org,Ctrl,0,0,0,0,KP,0,1,1
241,B1,2,KP_Ctrl_Org_2,KP_Ctrl,monoculture,Org,Ctrl,0,0,0,0,KP,0,1,1
242,B1,3,KP_Ctrl_Org_3,KP_Ctrl,monoculture,Org,Ctrl,0,0,0,0,KP,0,1,1
243,B1,1,KP_ENR_Org_1,KP_ENR,monoculture,Org,ENR,0,1,1,1,KP,0,1,1
244,B1,2,KP_ENR_Org_2,KP_ENR,monoculture,Org,ENR,0,1,1,1,KP,0,1,1
245,B1,3,KP_ENR_Org_3,KP_ENR,monoculture,Org,ENR,0,1,1,1,KP,0,1,1
246,B1,1,KP_E_Org_1,KP_E,monoculture,Org,E,0,1,0,0,KP,0,1,1
247,B1,2,KP_E_Org_2,KP_E,monoculture,Org,E,0,1,0,0,KP,0,1,1
248,B1,3,KP_E_Org_3,KP_E,monoculture,Org,E,0,1,0,0,KP,0,1,1
249,B1,1,KP_N_Org_1,KP_N,monoculture,Org,N,0,0,1,0,KP,0,1,1
250,B1,2,KP_N_Org_2,KP_N,monoculture,Org,N,0,0,1,0,KP,0,1,1
251,B1,3,KP_N_Org_3,KP_N,monoculture,Org,N,0,0,1,0,KP,0,1,1
252,B1,1,KP_R_Org_1,KP_R,monoculture,Org,R,0,0,0,1,KP,0,1,1
253,B1,2,KP_R_Org_2,KP_R,monoculture,Org,R,0,0,0,1,KP,0,1,1
254,B1,3,KP_R_Org_3,KP_R,monoculture,Org,R,0,0,0,1,KP,0,1,1
255,B1,1,KP_WENR_Org_1,KP_WENR,monoculture,Org,WENR,1,1,1,1,KP,0,1,1
256,B1,2,KP_WENR_Org_2,KP_WENR,monoculture,Org,WENR,1,1,1,1,KP,0,1,1
257,B1,3,KP_WENR_Org_3,KP_WENR,monoculture,Org,WENR,1,1,1,1,KP,0,1,1
258,B1,1,KP_WEN_Org_1,KP_WEN,monoculture,Org,WEN,1,1,1,0,KP,0,1,1
259,B1,2,KP_WEN_Org_2,KP_WEN,monoculture,Org,WEN,1,1,1,0,KP,0,1,1
260,B1,3,KP_WEN_Org_3,KP_WEN,monoculture,Org,WEN,1,1,1,0,KP,0,1,1
261,B1,1,KP_WER_Org_1,KP_WER,monoculture,Org,WER,1,1,0,1,KP,0,1,1
262,B1,2,KP_WER_Org_2,KP_WER,monoculture,Org,WER,1,1,0,1,KP,0,1,1
263,B1,3,KP_WER_Org_3,KP_WER,monoculture,Org,WER,1,1,0,1,KP,0,1,1
264,B1,1,KP_WNR_Org_1,KP_WNR,monoculture,Org,WNR,1,0,1,1,KP,0,1,1
265,B1,2,KP_WNR_Org_2,KP_WNR,monoculture,Org,WNR,1,0,1,1,KP,0,1,1
266,B1,3,KP_WNR_Org_3,KP_WNR,monoculture,Org,WNR,1,0,1,1,KP,0,1,1
267,B1,1,KP_W_Org_1,KP_W,monoculture,Org,W,1,0,0,0,KP,0,1,1
268,B1,2,KP_W_Org_2,KP_W,monoculture,Org,W,1,0,0,0,KP,0,1,1
269,B1,3,KP_W_Org_3,KP_W,monoculture,Org,W,1,0,0,0,KP,0,1,1
270,B1,1,K_Ctrl_Org_1,K_Ctrl,monoculture,Org,Ctrl,0,0,0,0,K,0,1,0
271,B1,2,K_Ctrl_Org_2,K_Ctrl,monoculture,Org,Ctrl,0,0,0,0,K,0,1,0
272,B1,3,K_Ctrl_Org_3,K_Ctrl,monoculture,Org,Ctrl,0,0,0,0,K,0,1,0
273,B1,1,K_ENR_Org_1,K_ENR,monoculture,Org,ENR,0,1,1,1,K,0,1,0
274,B1,2,K_ENR_Org_2,K_ENR,monoculture,Org,ENR,0,1,1,1,K,0,1,0
275,B1,3,K_ENR_Org_3,K_ENR,monoculture,Org,ENR,0,1,1,1,K,0,1,0
276,B1,1,K_E_Org_1,K_E,monoculture,Org,E,0,1,0,0,K,0,1,0
277,B1,2,K_E_Org_2,K_E,monoculture,Org,E,0,1,0,0,K,0,1,0
278,B1,3,K_E_Org_3,K_E,monoculture,Org,E,0,1,0,0,K,0,1,0
279,B1,1,K_N_Org_1,K_N,monoculture,Org,N,0,0,1,0,K,0,1,0
280,B1,2,K_N_Org_2,K_N,monoculture,Org,N,0,0,1,0,K,0,1,0
281,B1,3,K_N_Org_3,K_N,monoculture,Org,N,0,0,1,0,K,0,1,0
282,B1,1,K_R_Org_1,K_R,monoculture,Org,R,0,0,0,1,K,0,1,0
283,B1,2,K_R_Org_2,K_R,monoculture,Org,R,0,0,0,1,K,0,1,0
284,B1,3,K_R_Org_3,K_R,monoculture,Org,R,0,0,0,1,K,0,1,0
285,B1,1,K_WENR_Org_1,K_WENR,monoculture,Org,WENR,1,1,1,1,K,0,1,0
286,B1,2,K_WENR_Org_2,K_WENR,monoculture,Org,WENR,1,1,1,1,K,0,1,0
287,B1,3,K_WENR_Org_3,K_WENR,monoculture,Org,WENR,1,1,1,1,K,0,1,0
288,B1,1,K_WEN_Org_1,K_WEN,monoculture,Org,WEN,1,1,1,0,K,0,1,0
289,B1,2,K_WEN_Org_2,K_WEN,monoculture,Org,WEN,1,1,1,0,K,0,1,0
290,B1,3,K_WEN_Org_3,K_WEN,monoculture,Org,WEN,1,1,1,0,K,0,1,0
291,B1,1,K_WER_Org_1,K_WER,monoculture,Org,WER,1,1,0,1,K,0,1,0
292,B1,2,K_WER_Org_2,K_WER,monoculture,Org,WER,1,1,0,1,K,0,1,0
293,B1,3,K_WER_Org_3,K_WER,monoculture,Org,WER,1,1,0,1,K,0,1,0
294,B1,1,K_WNR_Org_1,K_WNR,monoculture,Org,WNR,1,0,1,1,K,0,1,0
295,B1,2,K_WNR_Org_2,K_WNR,monoculture,Org,WNR,1,0,1,1,K,0,1,0
296,B1,3,K_WNR_Org_3,K_WNR,monoculture,Org,WNR,1,0,1,1,K,0,1,0
297,B1,1,K_W_Org_1,K_W,monoculture,Org,W,1,0,0,0,K,0,1,0
298,B1,2,K_W_Org_2,K_W,monoculture,Org,W,1,0,0,0,K,0,1,0
299,B1,3,K_W_Org_3,K_W,monoculture,Org,W,1,0,0,0,K,0,1,0
300,B2,1,WT-Fib_Ctrl_Org_1,WT-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,WT,0,0,0
301,B2,2,WT-Fib_Ctrl_Org_2,WT-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,WT,0,0,0
302,B2,3,WT-Fib_Ctrl_Org_3,WT-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,WT,0,0,0
303,B2,1,WT-Fib_ENR_Org_1,WT-Fib_ENR,co-culture,Org,ENR,0,1,1,1,WT,0,0,0
304,B2,2,WT-Fib_ENR_Org_2,WT-Fib_ENR,co-culture,Org,ENR,0,1,1,1,WT,0,0,0
305,B2,3,WT-Fib_ENR_Org_3,WT-Fib_ENR,co-culture,Org,ENR,0,1,1,1,WT,0,0,0
306,B2,1,WT-Fib_E_Org_1,WT-Fib_E,co-culture,Org,E,0,1,0,0,WT,0,0,0
307,B2,2,WT-Fib_E_Org_2,WT-Fib_E,co-culture,Org,E,0,1,0,0,WT,0,0,0
308,B2,3,WT-Fib_E_Org_3,WT-Fib_E,co-culture,Org,E,0,1,0,0,WT,0,0,0
309,B2,1,WT-Fib_N_Org_1,WT-Fib_N,co-culture,Org,N,0,0,1,0,WT,0,0,0
310,B2,2,WT-Fib_N_Org_2,WT-Fib_N,co-culture,Org,N,0,0,1,0,WT,0,0,0
311,B2,3,WT-Fib_N_Org_3,WT-Fib_N,co-culture,Org,N,0,0,1,0,WT,0,0,0
312,B2,1,WT-Fib_R_Org_1,WT-Fib_R,co-culture,Org,R,0,0,0,1,WT,0,0,0
313,B2,2,WT-Fib_R_Org_2,WT-Fib_R,co-culture,Org,R,0,0,0,1,WT,0,0,0
314,B2,3,WT-Fib_R_Org_3,WT-Fib_R,co-culture,Org,R,0,0,0,1,WT,0,0,0
315,B2,1,WT-Fib_WENR_Org_1,WT-Fib_WENR,co-culture,Org,WENR,1,1,1,1,WT,0,0,0
316,B2,2,WT-Fib_WENR_Org_2,WT-Fib_WENR,co-culture,Org,WENR,1,1,1,1,WT,0,0,0
317,B2,3,WT-Fib_WENR_Org_3,WT-Fib_WENR,co-culture,Org,WENR,1,1,1,1,WT,0,0,0
318,B2,1,WT-Fib_WEN_Org_1,WT-Fib_WEN,co-culture,Org,WEN,1,1,1,0,WT,0,0,0
319,B2,2,WT-Fib_WEN_Org_2,WT-Fib_WEN,co-culture,Org,WEN,1,1,1,0,WT,0,0,0
320,B2,3,WT-Fib_WEN_Org_3,WT-Fib_WEN,co-culture,Org,WEN,1,1,1,0,WT,0,0,0
321,B2,1,WT-Fib_WER_Org_1,WT-Fib_WER,co-culture,Org,WER,1,1,0,1,WT,0,0,0
322,B2,2,WT-Fib_WER_Org_2,WT-Fib_WER,co-culture,Org,WER,1,1,0,1,WT,0,0,0
323,B2,3,WT-Fib_WER_Org_3,WT-Fib_WER,co-culture,Org,WER,1,1,0,1,WT,0,0,0
324,B2,1,WT-Fib_WNR_Org_1,WT-Fib_WNR,co-culture,Org,WNR,1,0,1,1,WT,0,0,0
325,B2,2,WT-Fib_WNR_Org_2,WT-Fib_WNR,co-culture,Org,WNR,1,0,1,1,WT,0,0,0
326,B2,3,WT-Fib_WNR_Org_3,WT-Fib_WNR,co-culture,Org,WNR,1,0,1,1,WT,0,0,0
327,B2,1,WT-Fib_W_Org_1,WT-Fib_W,co-culture,Org,W,1,0,0,0,WT,0,0,0
328,B2,2,WT-Fib_W_Org_2,WT-Fib_W,co-culture,Org,W,1,0,0,0,WT,0,0,0
329,B2,3,WT-Fib_W_Org_3,WT-Fib_W,co-culture,Org,W,1,0,0,0,WT,0,0,0
330,B2,1,WT_Ctrl_Org_1,WT_Ctrl,monoculture,Org,Ctrl,0,0,0,0,WT,0,0,0
331,B2,2,WT_Ctrl_Org_2,WT_Ctrl,monoculture,Org,Ctrl,0,0,0,0,WT,0,0,0
332,B2,3,WT_Ctrl_Org_3,WT_Ctrl,monoculture,Org,Ctrl,0,0,0,0,WT,0,0,0
333,B2,1,WT_ENR_Org_1,WT_ENR,monoculture,Org,ENR,0,1,1,1,WT,0,0,0
334,B2,2,WT_ENR_Org_2,WT_ENR,monoculture,Org,ENR,0,1,1,1,WT,0,0,0
335,B2,3,WT_ENR_Org_3,WT_ENR,monoculture,Org,ENR,0,1,1,1,WT,0,0,0
336,B2,1,WT_E_Org_1,WT_E,monoculture,Org,E,0,1,0,0,WT,0,0,0
337,B2,2,WT_E_Org_2,WT_E,monoculture,Org,E,0,1,0,0,WT,0,0,0
338,B2,3,WT_E_Org_3,WT_E,monoculture,Org,E,0,1,0,0,WT,0,0,0
339,B2,1,WT_N_Org_1,WT_N,monoculture,Org,N,0,0,1,0,WT,0,0,0
340,B2,2,WT_N_Org_2,WT_N,monoculture,Org,N,0,0,1,0,WT,0,0,0
341,B2,3,WT_N_Org_3,WT_N,monoculture,Org,N,0,0,1,0,WT,0,0,0
342,B2,1,WT_R_Org_1,WT_R,monoculture,Org,R,0,0,0,1,WT,0,0,0
343,B2,2,WT_R_Org_2,WT_R,monoculture,Org,R,0,0,0,1,WT,0,0,0
344,B2,3,WT_R_Org_3,WT_R,monoculture,Org,R,0,0,0,1,WT,0,0,0
345,B2,1,WT_WENR_Org_1,WT_WENR,monoculture,Org,WENR,1,1,1,1,WT,0,0,0
346,B2,2,WT_WENR_Org_2,WT_WENR,monoculture,Org,WENR,1,1,1,1,WT,0,0,0
347,B2,3,WT_WENR_Org_3,WT_WENR,monoculture,Org,WENR,1,1,1,1,WT,0,0,0
348,B2,1,WT_WEN_Org_1,WT_WEN,monoculture,Org,WEN,1,1,1,0,WT,0,0,0
349,B2,2,WT_WEN_Org_2,WT_WEN,monoculture,Org,WEN,1,1,1,0,WT,0,0,0
350,B2,3,WT_WEN_Org_3,WT_WEN,monoculture,Org,WEN,1,1,1,0,WT,0,0,0
351,B2,1,WT_WER_Org_1,WT_WER,monoculture,Org,WER,1,1,0,1,WT,0,0,0
352,B2,2,WT_WER_Org_2,WT_WER,monoculture,Org,WER,1,1,0,1,WT,0,0,0
353,B2,3,WT_WER_Org_3,WT_WER,monoculture,Org,WER,1,1,0,1,WT,0,0,0
354,B2,1,WT_WNR_Org_1,WT_WNR,monoculture,Org,WNR,1,0,1,1,WT,0,0,0
355,B2,2,WT_WNR_Org_2,WT_WNR,monoculture,Org,WNR,1,0,1,1,WT,0,0,0
356,B2,3,WT_WNR_Org_3,WT_WNR,monoculture,Org,WNR,1,0,1,1,WT,0,0,0
357,B2,1,WT_W_Org_1,WT_W,monoculture,Org,W,1,0,0,0,WT,0,0,0
358,B2,2,WT_W_Org_2,WT_W,monoculture,Org,W,1,0,0,0,WT,0,0,0
359,B2,3,WT_W_Org_3,WT_W,monoculture,Org,W,1,0,0,0,WT,0,0,0
