ident,gene,coefD,pvalD,padjD,coefC,pvalC,padjC,mastfc,alpha,ref_alpha,mu,ref_mu,mean,ref_mean,log2fc,spec_h,spec_d
Microvascular,ANGPT2,4.167216532,1.0835E-99,2.14301E-97,0.517478305,0.011107534,0.056685224,1.241153913,0.399014778,0.013678619,2.851954046,3.33220411,1.526469168,-2.859693939,4.386163107,FALSE,FALSE
Microvascular,NOS3,4.157937638,2.05868E-41,1.05074E-39,0.5152209,0.058044408,0.186034746,0.316290365,0.18226601,0.004913679,1.86968032,1.80358894,-0.586196132,-5.865103627,5.278907495,FALSE,FALSE
Microvascular,NOTCH4,4.152504052,9.01326E-86,1.35104E-83,0.144266812,0.432649639,0.729966715,0.922847668,0.421182266,0.01314741,2.233444967,2.600682224,0.985963017,-3.648333821,4.634296839,FALSE,FALSE
Microvascular,CABP1,4.12516204,6.76739E-50,4.283E-48,0.175000792,0.413770715,0.710833029,0.358544217,0.214285714,0.002921647,1.759718442,1.733117382,-0.4626686,-6.685375175,6.222706575,FALSE,TRUE
Microvascular,CAV2,4.123651621,1.7143E-152,6.5976E-150,0.597050297,1.49218E-08,5.3794E-07,2.17845244,0.706896552,0.06188579,2.839892937,2.364087896,2.339464235,-1.650145479,3.989609714,FALSE,FALSE
Microvascular,ENPP2,4.109506786,7.0247E-134,2.1746E-131,0.478775157,0.002204904,0.016245366,1.970091514,0.57635468,0.026427623,3.484637146,2.678337815,2.689666275,-2.563443119,5.253109394,FALSE,FALSE
Microvascular,C1QTNF3,4.090619103,8.34206E-43,4.41602E-41,0.360771519,0.213735908,0.462482803,0.233629889,0.160098522,0.006374502,2.035856172,1.537219017,-0.607105575,-5.755985804,5.148880229,FALSE,FALSE
Microvascular,PDE2A,4.088631207,5.85135E-44,3.25481E-42,-0.000995306,0.996346818,1,0.34079931,0.216748768,0.003851262,1.728982375,1.872887955,-0.476916507,-6.147214353,5.670297846,FALSE,FALSE
Microvascular,IGFBP4,4.08375579,1.1145E-135,3.607E-133,1.46332777,7.44613E-81,5.89072E-78,2.830320371,0.913793103,0.177556441,3.741017206,2.213133737,3.610956701,-0.280511699,3.8914684,FALSE,FALSE
Microvascular,FGD5,4.051642328,2.51041E-39,1.22426E-37,0.271885142,0.275838859,0.54441377,0.326442226,0.18226601,0.008366534,1.713313217,1.821186069,-0.742562536,-5.079801512,4.337238976,FALSE,FALSE
Microvascular,VAMP5,4.024820417,1.5714E-137,5.3276E-135,1.470775454,1.79394E-81,1.50269E-78,3.76369589,0.928571429,0.203452855,3.88471239,2.546501808,3.777797212,0.24927157,3.528525642,FALSE,FALSE
Microvascular,SH3BP5,4.019358112,1.1718E-127,3.2719E-125,0.471462118,5.54255E-05,0.000837855,1.563768007,0.583743842,0.038247012,2.526658007,1.946648762,1.750065954,-2.761827974,4.511893927,FALSE,TRUE
Microvascular,PTRF,3.984964155,2.9725E-143,1.0854E-140,0.243436037,0.009719311,0.051265283,2.113233524,0.71182266,0.06002656,2.666832272,2.572928249,2.176422354,-1.485313862,3.661736217,FALSE,FALSE
Microvascular,USHBP1,3.978330935,2.5899E-35,1.16341E-33,-0.197178795,0.472191495,0.771058863,0.302072127,0.142857143,0.004648074,1.663867075,1.741496864,-1.143478438,-6.0073361,4.863857662,FALSE,FALSE
Microvascular,STARD8,3.977092498,2.2975E-12,3.08956E-11,0.196516087,0.836931917,1,0.090561543,0.051724138,0.001726428,1.83965392,1.682929608,-2.433339124,-7.494170288,5.060831163,FALSE,FALSE
Microvascular,WWTR1,3.951952636,1.28222E-86,1.98465E-84,0.27029591,0.036689362,0.134100749,0.94149968,0.406403941,0.020849934,2.139652427,1.921793404,0.840640371,-3.661958413,4.502598784,TRUE,TRUE
Microvascular,JAM2,3.914289005,1.9352E-104,4.1131E-102,0.020801813,0.890708052,1,1.34307377,0.54679803,0.024435591,2.588407989,2.747746673,1.717488622,-2.607095987,4.324584609,FALSE,FALSE
Microvascular,HTRA1,3.913271019,4.6983E-118,1.1535E-115,0.34398983,0.001425036,0.011477667,1.612884679,0.598522167,0.04501992,2.674688982,2.231473136,1.93416609,-2.241797107,4.175963197,TRUE,FALSE
Microvascular,LDB2,3.891832062,6.61527E-86,1.00214E-83,0.234235054,0.092020758,0.257998646,0.990012899,0.475369458,0.018326693,2.292572045,2.263566268,1.219694284,-3.506287998,4.725982282,FALSE,FALSE
Microvascular,TM4SF1,3.857157901,1.3161E-141,4.6852E-139,0.652607903,5.08307E-10,2.40475E-08,3.19987486,0.896551724,0.135723772,3.725243798,3.409868651,3.567702565,0.528616959,3.039085606,FALSE,FALSE
Microvascular,NRP1,3.81321066,8.31207E-80,1.11664E-77,0.444250916,0.001520117,0.012079502,0.795757235,0.384236453,0.020053121,2.132912706,1.769156003,0.752980823,-3.870802174,4.623782997,TRUE,FALSE
Microvascular,HHEX,3.807979265,4.435E-93,7.79685E-91,0.058519566,0.658990146,0.943781522,1.124870042,0.460591133,0.029083665,2.219375581,2.267017326,1.100935374,-2.836595303,3.937530677,FALSE,FALSE
Microvascular,IL3RA,3.795764776,1.17903E-91,1.97523E-89,-0.016921536,0.8950069,1,0.911357174,0.450738916,0.02815405,2.083861725,2.110740876,0.934227074,-3.03973311,3.973960184,FALSE,FALSE
Microvascular,KIFC3,3.755057236,6.1525E-53,4.33721E-51,-0.025943705,0.868196197,1,0.621219414,0.231527094,0.013944223,1.748178021,2.039253534,-0.362564135,-4.124849619,3.762285484,FALSE,TRUE
Microvascular,COL4A1,3.750412145,8.1446E-113,1.8706E-110,0.335364289,0.001593276,0.01256546,1.604091353,0.625615764,0.044090305,2.552549597,2.408256095,1.875898874,-2.09511833,3.971017203,FALSE,FALSE
Microvascular,HSPG2,3.727291418,1.1034E-133,3.3429E-131,1.221695795,1.17363E-44,4.64237E-42,1.860294637,0.780788177,0.086188579,3.164616822,1.712351767,2.80762009,-1.823991638,4.631611728,TRUE,FALSE
Microvascular,ARHGAP23,3.678574216,2.45216E-14,3.87987E-13,0.287122342,0.625994453,0.917944702,0.113741255,0.056650246,0.00438247,2.047532306,1.963885067,-2.094221641,-5.869865639,3.775643998,TRUE,FALSE
