Notch1_ALL,Notch1_Exclusive,,Lgr5_ALL,Lgr5_Exclusive,,Common
Hspa1a,Iqgap1,,,,,
Hspa1b,Itga2,,,,,
Hyal1,Itga3,,,,,
Idh1,Itgb5,,,,,
Ifit1bl1,Itgb8,,,,,
Il18,Jun,,,,,
Il33,Kif5b,,,,,
Il4ra,Klra4,,,,,
Iqgap1,Krt18,,,,,
Itga2,Krt23,,,,,
Itga3,Lama3,,,,,
Itgb5,Lamc2,,,,,
Itgb8,Lamp1,,,,,
Jun,Lcn2,,,,,
Kif5b,Ldlr,,,,,
Klra4,Lgmn,,,,,
Krt18,Lipa,,,,,
Krt23,Litaf,,,,,
Lama3,Lmna,,,,,
Lamc2,Lmo7,,,,,
Lamp1,Lpcat2,,,,,
Lcn2,Lpcat4,,,,,
Ldlr,Map2k4,,,,,
Lgmn,Mboat1,,,,,
Lipa,Mboat2,,,,,
Litaf,Micall2,,,,,
Lmna,Mmp14,,,,,
Lmo7,Mob1a,,,,,
Lpcat2,Mob1b,,,,,
Lpcat4,Msmo1,,,,,
Map2k4,Mvd,,,,,
Mboat1,Myl7,,,,,
Mboat2,Mylip,,,,,
Micall2,Nfatc2,,,,,
Mmp14,Nfkbiz,,,,,
Mob1a,Nkd1,,,,,
Mob1b,Nlrc4,,,,,
Msmo1,Nox1,,,,,
Mvd,Npc1,,,,,
Myl7,Npnt,,,,,
Mylip,Nr4a1,,,,,
Nfatc2,Nr4a3,,,,,
Nfkbiz,Nrg4,,,,,
Nkd1,Ntf5,,,,,
Nlrc4,Nupr1,,,,,
Nox1,Nus1,,,,,
Npc1,Pak2,,,,,
Npnt,Pard6b,,,,,
Nr4a1,Pcsk9,,,,,
Nr4a3,Pfkl,,,,,
Nrg4,Pfkp,,,,,
Ntf5,Pgam1,,,,,
Nupr1,Pgm1,,,,,
Nus1,Pik3cb,,,,,
Pak2,Pik3cg,,,,,
Pard6b,Pik3r3,,,,,
Pcsk9,Pla2g10,,,,,
Pfkl,Pla2g12a,,,,,
Pfkp,Pla2g2a,,,,,
Pgam1,Pla2g2e,,,,,
Pgm1,Pla2g2f,,,,,
Pik3cb,Plat,,,,,
Pik3cg,Plaur,,,,,
Pik3r3,Pld1,,,,,
Pla2g10,Plk2,,,,,
Pla2g12a,Plk3,,,,,
Pla2g2a,Pparg,,,,,
Pla2g2e,Ppp1r15a,,,,,
Pla2g2f,Ppp1r3b,,,,,
Plat,Ppp2r1a,,,,,
Plaur,Ppp2r5e,,,,,
Pld1,Prkaa1,,,,,
Plk2,Prkg2,,,,,
Plk3,Psapl1,,,,,
Pmaip1,Psd4,,,,,
Pparg,Psmd14,,,,,
Ppp1r15a,Psmd8,,,,,
Ppp1r3b,Ptger4,,,,,
Ppp2r1a,Pthlh,,,,,
Ppp2r5e,Ptprj,,,,,
Prkaa1,Rab14,,,,,
Prkg2,Rab27b,,,,,
Psapl1,Rap1b,,,,,
Psd4,Rb1,,,,,
Psmd14,Reg4,,,,,
Psmd8,Rel,,,,,
Ptger4,Robo1,,,,,
Pthlh,Rock2,,,,,
Ptprj,Rragc,,,,,
Rab14,Runx1,,,,,
Rab27b,S100g,,,,,
Rap1b,Sat1,,,,,
Rb1,Scarb1,,,,,
Reg4,Scd1,,,,,
Rel,Scd2,,,,,
Robo1,Sdc1,,,,,
Rock2,Sec61b,,,,,
Rragc,Sema6a,,,,,
Runx1,Septin8,,,,,
S100g,Serpinb5,,,,,
Sat1,Sh3kbp1,,,,,
Scarb1,Sirt1,,,,,
Scd1,Slc16a3,,,,,
Scd2,Slc26a9,,,,,
Sdc1,Slc2a1,,,,,
Sec61b,Slc9a3,,,,,
Sema6a,Slit2,,,,,
Septin8,Smad7,,,,,
Serpinb5,Sod1,,,,,
Sh3kbp1,Sqle,,,,,
Sirt1,Srgap1,,,,,
Slc16a3,Srgap2,,,,,
Slc26a9,Srp54c,,,,,
Slc2a1,Srsf1,,,,,
Slc9a3,Stat3,,,,,
Slit2,Tab3,,,,,
Smad7,Tead4,,,,,
Sod1,Tff1,,,,,
Sqle,Tgfbr2,,,,,
Srgap1,Tlr1,,,,,
Srgap2,Tlr4,,,,,
Srp54c,Tmem173,,,,,
Srsf1,Tmprss2,,,,,
Stat3,Tnf,,,,,
Tab3,Tnfaip3,,,,,
Tead4,Tnfrsf10b,,,,,
Tff1,Tnfrsf11b,,,,,
Tgfbr2,Tnnt2,,,,,
Thbs1,Tpcn2,,,,,
Timp3,Tpm1,,,,,
Tlr1,Tpm4,,,,,
Tlr4,Trp53bp2,,,,,
Tmem173,Tspo,,,,,
Tmprss2,Tuba4a,,,,,
Tnf,Tusc3,,,,,
Tnfaip3,Ugdh,,,,,
Tnfrsf10b,Ugt1a7c,,,,,
Tnfrsf11b,Ugt8a,,,,,
Tnnt2,Vcl,,,,,
Tpcn2,Vdac2,,,,,
Tpm1,Vmp1,,,,,
Tpm4,Vps37c,,,,,
Trf,Vps4b,,,,,
Trp53bp2,Zmpste24,,,,,
Tspo,Zyx,,,,,
Tuba4a,,,,,,
Tusc3,,,,,,
Ugdh,,,,,,
Ugt1a7c,,,,,,
Ugt8a,,,,,,
Vcl,,,,,,
Vdac2,,,,,,
Vmp1,,,,,,
Vps37c,,,,,,
Vps4b,,,,,,
Zmpste24,,,,,,
Zyx,,,,,,
