CD81+PDGFRAlow,ACKR4+fibroblast,CD81-PDGFRAlow,Telocyte,small intestine arteriole,small intestine capillary,small intestine vein,small intestine lymphatic,colon capillary arterial,colon capillary,colon vein,colon lymphatic
,EPYC,TRP53I11,MGARP,PCK2,NEDD9,PRPF40B,DLG1,CASZ1,COL4A3,SELP,PROX1
,PLA2G2E,RGS10,GNAI1,SNX25,UBC,GDA,LTC4S,HSP90AA1,ANKRD44,ITGB4,GMFG
,KLF4,TSHZ2,COL12A1,UGDH,NOSTRIN,FABP2,UCP2,GBE1,HIC1,PGM5,LIMS1
,CD248,,OGN,PIK3IP1,ADGRL2,PROCR,ABI3BP,IGF1R,SERPINE1,TMEM100,EHD1
,ACKR4,,PLAT,FMNL1,TRP53I11,C130074G19RIK,THY1,3110082I17RIK,COLGALT2,GSTM2,LGMN
,,,WIF1,GPD2,ENDOD1,CD74,AA467197,KCNQ1,RAB37,ODC1,GNG11
,,,,ZFP637,IFI203,RASL11A,LAMA4,GMNN,CSGALNACT1,NUAK1,RNASE4
,,,,ROGDI,PTPRU,CCND1,RASGRP2,EXTL3,TRP53INP2,LHX6,RHOJ
,,,,SAFB,SKIL,DUSP23,PTPN18,APOL9B,PTPRM,FILIP1L,FXYD1
,,,,GALNT7,PCDH17,AU021092,KCTD12,HMGB2,UCHL1,PDIA5,ECE1
,,,,GM5093,PVR,PKP4,FSCN1,2410089E03RIK,KLHL6,BST1,DEGS1
,,,,GPN1,PQLC1,TGFBR3,KCNK5,ACSS1,SLC46A3,VEGFC,PPFIBP1
,,,,USP21,RAD51AP1,FBLN2,S100A6,MDM4,DCBLD1,INSR,SLC45A3
,,,,DTYMK,CHRM2,WDR26,PALM,POLD3,PTPRU,PPP1R14A,ARHGDIB
,,,,PEX2,SPRY4,LGALS2,RSPO3,IER5L,LPIN2,ZFP36L2,PALM
,,,,LPCAT4,JAM3,HID1,TRF,FAM219B,MICALL1,CTNNAL1,UCP2
,,,,MID1,PHLDA1,FCGBP,CCND2,CXCR4,PCBP3,CFB,LAMA4
,,,,MFHAS1,CHST2,TNRC6C,CD24A,GPSM1,HUWE1,IER3,S100A11
,,,,AKTIP,ITGA6,MT-CYTB,GPR182,DGAT1,DDI2,PLK2,ACKR3
,,,,EIF4EBP2,ARAP2,SEMA6B,EMILIN1,ETV3,RNF31,MT-ND2,NRP2
,,,,POM121,RHBDL2,ATP2A3,EHD1,RBM33,DNAL4,BAMBI,IL7
,,,,ZFP362,NOCT,MBTD1,PTPN14,NAB1,DGKE,ITPR1,ABHD17B
,,,,EXOSC9,TBC1D1,ECM1,MARCKSL1,ANKRD29,TNK2,UPP1,TGM2
,,,,HERC1,PIK3R6,LGALS4,KCNN3,LUC7L,NRN1,LGALS3,TSHZ2
,,,,XYLT2,CLEC14A,UBR4,ABHD17B,AQR,FBXO3,H2-Q6,TBX1
,,,,ZFP746,SEMA3F,PLXNB2,ADD3,SMG7,FAM133B,H2-Q7,LTBP4
,,,,EXOC3L,KITL,CRIM1,RTKN,ZBTB1,SNX25,PHLDA3,STXBP6
,,,,BAZ1A,ENDOU,TBC1D9B,PURA,YOD1,TMEM63B,BMP4,SH3GL3
,,,,RBM33,POLR2E,YBX3,NFIA,COG4,AGMO,ZFP521,ECM2
,,,,2410089E03RIK,STK32C,SURF4,TGFBR2,IDE,LRRC8D,KCNB1,ADD3
,,,,ZBTB1,GPX8,DUSP2,SLC45A3,NUP88,D1ERTD622E,HDC,TPCN1
,,,,PIGQ,BPGM,PLXND1,PCSK6,2700081O15RIK,GM12216,LFNG,FNDC1
,,,,PER3,SPRED1,HMGB2,MICAL2,SOS1,CAB39,CPE,CPNE2
,,,,PKD2,SLC2A1,ACER3,IGFBP5,ELMO2,TTYH3,SULF1,GPR182
,,,,ERAP1,PLSCR2,SPINK4,PMEPA1,MAP2K7,NLK,MUSTN1,BCR
,,,,GLRX2,PHLPP1,HIST1H1C,KCNJ8,UTP14A,HMGCR,PIEZO1,SDC1
,,,,NOP14,SLC23A2,IGTP,ZBP1,TEF,NKD2,PLEC,KLHL4
,,,,ZFP830,TRP53INP2,LYPD8,STAT1,ADGRL1,AIRN,GRRP1,GJA1
,,,,CDK5,DUSP5,TFF3,FN1,DUSP5,RNF41,DST,SULT1A1
,,,,RBM34,PDE4D,WARS,NFAT5,TMEM87B,NUP93,SYT7,HJURP
,,,,SHTN1,TSC22D2,CERK,RAPH1,RBM26,FUCA2,KRT19,WNK1
,,,,NDUFS1,WEE1,KIF13A,FMNL2,CPEB4,MANBA,THSD7A,NSG1
,,,,PIP4K2C,MMD,SIRPA,GM21541,APEH,SPATA2,PTPRB,RCN3
