CD81+PDGFRAlow,ACKR4+fibroblast,CD81-PDGFRAlow,Telocyte,small intestine arteriole,small intestine capillary,small intestine vein,small intestine lymphatic,colon capillary arterial,colon capillary,colon vein,colon lymphatic
,,,,USP12,SEC23IP,ERDR1,BTBD3,CRLF3,CNNM4,KLHL22,P3H3
,,,,ZFP398,APBA3,GCLC,TSPAN2,ODF3B,STON1,SPG20,MICAL3
,,,,NOP2,MMP15,FBXO4,TMEM30A,DHX8,ZFP518A,PIKFYVE,TNFAIP8L3
,,,,MAN2C1,ATP8A1,VMA21,MBOAT1,RBM15B,SHQ1,FAM20A,SLC10A6
,,,,FBRS,CCDC32,YOD1,FOXJ2,SAMD12,,SYNRG,TC2N
,,,,BTBD10,MTHFSL,CEBPB,CHRNB1,NUDT8,,ARHGAP21,ITIH5
,,,,2610002M06RIK,EXOSC3,PLEKHG1,ATP9A,NCOA4,,SCRIB,ACOT7
,,,,NCBP3,TMEM259,CSF1,HOXD9,SLC41A1,,COL5A2,SEMA3A
,,,,MON2,SNX7,DMWD,MAPKAPK3,LINS1,,TDRD7,NRIP1
,,,,SFT2D3,VPS37B,SLC25A46,VAV3,ADAT1,,VWA5A,SCN3B
,,,,RSRC1,PIH1D1,GSE1,UHRF1BP1L,MYO9A,,EP300,GMFB
,,,,FBXL20,LNCPINT,GTF2I,MAP1B,TBC1D31,,AGPAT2,HOMER3
,,,,ACAD12,MTF1,PRPF39,SH3PXD2A,ZFP182,,CHKA,SLC16A12
,,,,ATP11A,DNAJB2,CBX6,TRIB1,UNKL,,TBCD,TBC1D4
,,,,FNIP2,MBD1,AS3MT,KLHL4,ARL14EP,,UBE3C,REEP1
,,,,SCAPER,HDAC4,SLMAP,DPH6,CRTC1,,HSPB8,NEAT1
,,,,RNF126,LENG8,APAF1,SCPEP1,ZMYM6,,L1CAM,CAMK2N1
,,,,HS6ST1,ZC3H3,ZFP410,USP24,ZFP933,,MUS81,CCDC141
,,,,GMNN,FAM220A,CPT1A,SERPINE2,9330020H09RIK,,CAPN5,TGFB3
,,,,NOP16,MBIP,NAB2,PML,,,MAN2B2,DUOX2
,,,,RAB11FIP2,DNAJC21,SLC12A4,MAN2A2,,,MVD,DOCK6
,,,,CDK2AP1,PARP1,PARP6,DDX1,,,SFXN1,MMP14
,,,,UROD,ATG9A,FGD6,SNX18,,,FAM214B,IRF8
,,,,RNF5,TMCC2,MRPS35,RNASEH2B,,,RFNG,ARHGEF40
,,,,THOC3,PPP4R1,SNIP1,CBFA2T3,,,TMC6,SYNM
,,,,NUP54,GGPS1,SUZ12,LUC7L3,,,DHX16,NFIX
,,,,PMPCB,CNTRL,ICE1,IL18BP,,,SERHL,SUSD2
,,,,PHXR4,NELFA,HOXB9,TRIP4,,,AKIRIN2,RBP2
,,,,TUBGCP5,RNF2,CRYBG3,RNF141,,,TRP53BP1,PACSIN3
,,,,LLGL1,TMEM110,RALGAPB,YWHAG,,,VPS54,CH25H
,,,,ALKBH7,REXO4,CREBZF,RAB11FIP5,,,MRPL21,ZFP512
,,,,NOB1,SMG5,PUM3,MSMO1,,,FUBP3,KDELC2
,,,,ASH2L,ASB6,COQ5,BTNL9,,,AGO2,TANC2
,,,,RAD17,COASY,KRIT1,PLAUR,,,RRP8,ITGAV
,,,,MAP2K5,SH3D21,RARS,TRIP6,,,NET1,MYO7A
,,,,TAF2,4930453N24RIK,PHF21A,STAG2,,,DFFA,SAMSN1
,,,,MED16,NOL4L,GFOD2,GMFB,,,POM121,NDRG2
,,,,DOLK,PNPT1,SENP1,MSRB3,,,ZHX2,FAM107B
,,,,PRMT2,SREBF2,RING1,CUEDC1,,,GM14305,ANK2
,,,,JAK3,NGLY1,ATIC,COQ7,,,C1S1,NUPR1
,,,,TIPIN,LETM1,PRKACB,CNOT6,,,R3HDM2,ADORA2A
,,,,DYNC1LI2,REL,DPP3,ZFP423,,,FASN,ANK3
,,,,SLC35E1,TCOF1,TRMT11,PPP1R14A,,,P3H2,WBP1L
,,,,ZBTB10,GPBP1L1,RPL13A-PS1,CNRIP1,,,GM26782,DESI2
,,,,KHK,MDM2,44075,SUN2,,,LYNX1,SLC8B1
,,,,NUDT14,USP3,MRPS6,PCYOX1L,,,GM26802,44080
,,,,FBRSL1,IP6K1,RPE,FLYWCH2,,,SLC9A1,ZDHHC2
,,,,GPN2,CEP83,WIPI2,TAOK1,,,EMC1,CELF2
,,,,ASF1A,SCAF8,ABCD1,MAGI3,,,CKAP4,CHRNB1
,,,,,GYG,HEATR5A,TWSG1,,,DIDO1,AA467197
,,,,,TMEM168,LEO1,SYN3,,,MAPK1IP1L,RAB11FIP2
,,,,,TMCC1,NT5C3B,NPM3,,,GSTM5,ATP8A2
,,,,,XPOT,SYNJ2,VWA5A,,,PARP16,CNRIP1
,,,,,BACH1,BLOC1S2,THSD7A,,,CD27,DALRD3
,,,,,GPATCH1,DGAT1,SMYD2,,,SMIM8,TMEM64
,,,,,CNOT10,INPPL1,RYK,,,OSBPL8,DUOXA2
,,,,,ENOPH1,KIF1C,HOXD8,,,HS2ST1,CPQ
,,,,,CROT,USP7,PPP1R21,,,SH3BGRL2,ITPK1
,,,,,ST7L,CRELD1,1190002N15RIK,,,HACL1,NFATC1
,,,,,CPSF2,AHRR,SMIM19,,,SHPRH,NOTCH2
,,,,,UXT,DNMT3A,NBL1,,,FUZ,HIST1H1C
,,,,,ZSWIM8,CCNC,UCHL5,,,SIL1,UHRF1BP1L
,,,,,SCAF1,NF2,CACUL1,,,CCDC191,VAV3
,,,,,CPPED1,PPP1R14B,ITPK1,,,POLD1,GPRC5C
,,,,,ERCC5,TGFBRAP1,PANK3,,,UBE4A,PRRT4
,,,,,SLC25A28,SVIP,POLA2,,,ATP6V1B2,TEAD1
,,,,,INPP5D,TAF6,NFATC1,,,SLX1B,UGCG
,,,,,FIZ1,SEC24A,SGCB,,,ATG2B,GATSL2
,,,,,ALDH3A2,TRAF5,TUFM,,,LYRM9,FOXC2
,,,,,MAPK8,TMEM173,FUBP3,,,SEC24C,GSN
,,,,,STRIP1,GM20604,ACTR8,,,CREB3L1,VTN
,,,,,NIFK,IFT172,TWISTNB,,,TRAF2,WWP1
,,,,,SP2,ZFP865,MAN2A1,,,MT-ND6,GM10605
,,,,,SCLY,SZRD1,ST3GAL5,,,WHAMM,FLNC
,,,,,FBXL12,ICA1,RASSF8,,,ARHGEF18,EIF3J2
,,,,,GTF2H4,TMEM41B,VOPP1,,,USP48,GM11837
,,,,,GPALPP1,SAP30BP,NRBP2,,,SHANK3,GADD45A
,,,,,SOCS1,EBPL,PTPRE,,,ACACB,ZFR
,,,,,CBY1,RCBTB1,PTS,,,FAM208B,MTSS1
,,,,,ZC3H14,CD2BP2,SDC1,,,RPUSD1,AP3M1
,,,,,ARHGAP35,HMGN2,ZDHHC2,,,BTBD9,GATM
,,,,,TMTC3,SND1,RALGAPA2,,,MSANTD2,RHOBTB3
,,,,,PRKD2,KAT5,IKBIP,,,WDR11,TTLL1
,,,,,1110034G24RIK,FKBP10,CFAP97,,,ADNP2,HSPA12A
,,,,,TBL3,CCDC34,CHD9,,,GM16499,AKAP13
,,,,,FBXO28,CARS2,EML4,,,MGEA5,TULP4
,,,,,CHERP,CALHM2,FNDC3B,,,GALNT15,HIST1H2BC
,,,,,MAPK1IP1,TSC1,VCPIP1,,,SYNJ1,IL6RA
,,,,,CRLF3,BMPR2,PDE10A,,,PPTC7,FAH
,,,,,PDCD2L,SPICE1,HMGCS1,,,BCL2L11,UNC13B
,,,,,DDX10,TNKS2,PCM1,,,JARID2,NXPE2
,,,,,DXO,PIK3C2B,NEXN,,,ZFX,KALRN
,,,,,PIP4K2A,NT5C3,TMEM260,,,NKAPL,NMB
,,,,,FAM114A1,SLC10A6,IFIT3B,,,MSRB3,APPL2
,,,,,VPS52,ANAPC7,DMAP1,,,GPATCH1,SUN2
,,,,,APIP,LRRC42,PSMG2,,,CCP110,RBMS3
,,,,,EDEM1,SLC35A1,SMAD2,,,ZW10,C77080
,,,,,DCAF10,ZG16,ZFP36L2,,,CYP1A1,MT-ND3
,,,,,FEM1C,U2AF2,GCSH,,,A230050P20RIK,D830026I12RIK
,,,,,D1ERTD622E,VSIG10,MYLK,,,AEN,ATP2A2
,,,,,FBXL17,STAT5B,MTSS1L,,,OCRL,UBASH3B
,,,,,NLK,HCFC2,ANKRD13C,,,WTIP,ZFP950
,,,,,CRTC2,SMN1,SAMD8,,,MED12,OAF
,,,,,MRPL1,TOMM34,KDELC2,,,ARID1B,RENBP
,,,,,CDKN2AIP,TAL1,CMC2,,,ZFP740,LRRC1
,,,,,ANAPC10,YLPM1,DOPEY1,,,EXOC2,ADM
,,,,,FAM193A,SUCO,DSCR3,,,CAMSAP1,LPP
,,,,,ESCO1,43898,ABHD17C,,,CDKN1B,SESN1
,,,,,DPP8,ANKS1,MZT2,,,RIOK1,GSAP
,,,,,2700097O09RIK,SNAPC1,GNA12,,,NUP214,PTPRF
,,,,,LARS2,TMEM230,MOB1B,,,OPLAH,LTBP3
,,,,,PSEN1,B3GNT3,GATAD2B,,,TLR2,TFPI2
,,,,,EEF1E1,KCTD18,POGZ,,,PKD1,TAOK1
,,,,,EPC2,SEC24B,LDLR,,,FARP1,ARL13B
,,,,,GMCL1,CDKN1B,ZSWIM6,,,LARP1,NPM3
,,,,,NFKBIL1,LIN37,DNAJB5,,,DOPEY1,NFATC2
,,,,,ZFP703,LYRM2,CREG1,,,EIF2S3X,PDGFA
,,,,,MID2,EXOSC10,FAM168B,,,NRADD,SEC61A2
,,,,,URI1,SENP7,CLASP2,,,N4BP2,H6PD
,,,,,DNAJC25,POGLUT1,TCF7L1,,,RAB8B,DAAM1
,,,,,SLC2A8,TIMM10,SIL1,,,RNPC3,APOBEC1
,,,,,HBS1L,AP1B1,HNRNPH1,,,SOX12,GPCPD1
,,,,,1600020E01RIK,OTUD7B,RAB11FIP3,,,FAM234A,GPSM3
,,,,,ZBTB11,IPO5,DDX17,,,SIDT2,SMC3
,,,,,FASTK,CNST,INPP4A,,,HOXB8,ZCCHC24
,,,,,TMEM41A,PAIP1,KIFAP3,,,RRAS2,ATP9A
,,,,,USP48,FABP1,PMM1,,,SAMD8,ANTXR2
,,,,,ACAD8,EPB41L4AOS,MYBBP1A,,,LLGL1,NOS1AP
,,,,,LONP2,HAT1,NSMCE2,,,KLHDC10,TRIB3
,,,,,CCNH,TSPAN17,SOCS5,,,ANKRD16,PHLDB3
,,,,,APBB1,FAM69A,ZNHIT6,,,ZFP444,ASCC1
,,,,,TBCE,PDE12,MED9,,,ABCA2,EGLN3
,,,,,SCAI,GATAD2A,TGS1,,,ATPAF2,ADGRA2
,,,,,FOXJ3,FDX1L,ANGPT2,,,SMARCAD1,FDX1L
,,,,,ANKRD54,STAMBP,RBBP9,,,BHLHB9,ARHGAP32
,,,,,TMEM167B,ATF5,TAOK2,,,PEX26,GNA13
,,,,,VPS26B,ELMO2,USP5,,,44084,POLD2
,,,,,AGPAT5,LUC7L,ARHGAP27,,,TRIM33,EFEMP2
,,,,,GALK1,TOMM70A,2310022B05RIK,,,GSK3A,LENG8
,,,,,ZFP516,FMNL3,APPL2,,,MRPS10,A4GALT
,,,,,SCYL2,FAM117A,EPHB1,,,HAUS2,ATF5
,,,,,EXTL3,NCOA2,NIN,,,ATP6V0A1,NF1
,,,,,AKR1E1,PTCD3,DALRD3,,,ETV6,C1QTNF6
,,,,,SLC24A5,HS2ST1,ASCC1,,,ZSWIM6,CXXC5
,,,,,PIK3R4,LRP5,FNIP1,,,RABGEF1,SNCAIP
,,,,,TMEM106A,FBXW7,GART,,,UNG,FLRT2
,,,,,ZDHHC12,FBXW5,SETD7,,,KCTD2,SGSM1
,,,,,BRPF1,TSHZ1,ADM,,,KLHDC8B,RALGAPA2
,,,,,ZBTB45,EHMT2,RASSF2,,,ICE1,ENKUR
,,,,,ARFGAP3,RBFOX2,NDFIP1,,,NEK1,DPH6
,,,,,LARS,ANKS3,ANKRD13A,,,PPRC1,CELSR1
,,,,,CLN5,MPV17L2,WDR44,,,SCAF1,TMEM198B
,,,,,BRD1,ZNHIT2,AI480526,,,NARFL,PPIL4
,,,,,ODF2,RUFY3,PMVK,,,POMGNT1,NAAA
,,,,,MLKL,PGD,NUCKS1,,,CTBS,ANK
,,,,,NAGA,CD302,TAF1,,,INF2,NHSL1
,,,,,DR1,DNM1L,LARP1,,,DDHD2,SETD7
,,,,,HCCS,DHX8,IFT27,,,KLHL26,SLC39A1
,,,,,DNAJC9,SETD1A,COBLL1,,,ZFYVE27,JADE1
,,,,,TTC19,GMPR2,MEX3C,,,CHD9,CWF19L2
,,,,,DCUN1D3,AHCYL2,APPBP2,,,HMG20A,VSIG10
,,,,,STARD7,ERGIC1,ZCCHC10,,,SCAF8,HSPB11
,,,,,AU022252,PTCH1,PHF2,,,AP1AR,ANGPTL2
,,,,,TRAF2,REST,ZDHHC1,,,ZFP113,4930486L24RIK
,,,,,RFC3,KCTD2,GRK5,,,NLRC5,RASA3
,,,,,VPS11,URGCP,AGFG2,,,TSLP,CHCHD6
,,,,,POLR2H,SNX21,CLN3,,,CEP95,PLEKHA3
,,,,,MUL1,AGO2,DAGLB,,,PNISR,ME2
,,,,,CAMTA2,ELL,RTP3,,,LARS2,MPDZ
,,,,,NKIRAS2,SIK3,TPST1,,,TTC9C,ESF1
,,,,,MAVS,EFHD2,SEC61A2,,,FBXO33,DNASE2A
,,,,,,GM20186,P2RX4,,,CRTC2,SNX18
,,,,,,AU019823,SLC30A4,,,CASK,SSH2
,,,,,,LDLRAP1,RANBP2,,,PRMT5,DIP2C
,,,,,,TSR3,RDH14,,,CDYL2,LIAS
,,,,,,CTGF,TBKBP1,,,DCAF4,NEXN
,,,,,,PWWP2A,STARD13,,,FNBP1,SLC25A23
,,,,,,ZHX3,WWP1,,,TSHZ1,HAGHL
,,,,,,MICU2,PTDSS1,,,THOC1,AMDHD2
,,,,,,SPPL2B,ASXL1,,,NR2C2,TRP53INP1
,,,,,,HK1,DTD2,,,AP3S1,PQLC3
,,,,,,MEF2D,TIGD2,,,SNX16,MAGI3
,,,,,,CNP,MAPK9,,,MTIF2,VPS52
,,,,,,MSRB2,UHMK1,,,CHID1,ZC3H11A
,,,,,,HCFC1,TEAD1,,,RAD52,CAR2
,,,,,,STK24,DDX19A,,,YEATS2,RAP2A
,,,,,,SLC4A1AP,RNF139,,,PPP2R1B,ARHGAP23
,,,,,,FAM136A,LIMK2,,,AKAP7,MYEF2
,,,,,,SNX11,SPNS1,,,FAM189B,TNFRSF11A
,,,,,,SLC16A2,MSANTD4,,,SLC4A1AP,PDXDC1
,,,,,,DVL1,ARHGEF10,,,DUSP18,ENPP5
,,,,,,GKAP1,APMAP,,,CNOT1,TK2
,,,,,,MED15,SEC24C,,,DENND4C,MCU
,,,,,,RNF121,ZFP263,,,TBL2,TSC22D2
,,,,,,BCOR,RAB21,,,INTS2,TCOF1
,,,,,,GM10320,VAMP7,,,ZMYM2,DGKA
,,,,,,SLC7A1,A330017A19RIK,,,AMBRA1,ARSK
,,,,,,LRRC45,ANK,,,SH3PXD2A,AGTPBP1
,,,,,,CDC34,AEBP2,,,E130311K13RIK,DDB2
,,,,,,TOR2A,TSC2,,,DCAF17,ZFP106
,,,,,,HMGB3,ADCY6,,,AU040320,FAM92A
,,,,,,PAPD4,NUP88,,,KMT2B,SMARCD1
,,,,,,ULK1,MAP1S,,,1810030O07RIK,GPRASP1
,,,,,,EXOC3,MRPL13,,,OTUD4,ATP8A1
,,,,,,UBQLN4,MRPS30,,,LSG1,EML4
,,,,,,CELF1,C330007P06RIK,,,ATRNL1,TMEM51
,,,,,,PPM1M,MRPL50,,,GEMIN5,IGF2BP3
,,,,,,TMEM55A,DDX60,,,GSTZ1,ZFP280D
,,,,,,TLK2,SIPA1L3,,,SLC5A3,PCDHGA12
,,,,,,APEH,RBPJ,,,ZFP2,USP24
,,,,,,RPS6KB2,RBM4B,,,ZFHX2,ISOC2B
,,,,,,SEC16A,ARFIP1,,,43896,GUCD1
,,,,,,TMEM159,DMXL1,,,TRAPPC10,RBM19
,,,,,,RBM15,ZBTB44,,,ASCC2,ZFP397
,,,,,,PPP2R3A,TTC33,,,RMDN1,SNHG20
,,,,,,CDC42EP5,ASB8,,,PDSS2,TRUB1
,,,,,,SDHAF1,NUDCD2,,,POC1B,ITSN1
,,,,,,ESRRA,SMARCC2,,,ZFP335,PARD6A
,,,,,,AP1G1,FAM92A,,,1810032O08RIK,VPS8
,,,,,,IL15,CYLD,,,ASXL1,TRDMT1
,,,,,,OTULIN,GPATCH2,,,ITGB3BP,CC2D2A
,,,,,,USP22,ABI2,,,ELL,1110046J04RIK
,,,,,,ZFP800,THOC1,,,KPNA3,RNF217
,,,,,,GAA,FRA10AC1,,,CACHD1,DNAJC4
,,,,,,SOGA1,MCOLN1,,,SCLY,DMXL1
,,,,,,MCM4,SCAP,,,CSE1L,COG7
,,,,,,TBC1D10B,1110004E09RIK,,,GTPBP6,GNPTG
,,,,,,ENDOG,ARL5A,,,ZFP655,RRM2B
,,,,,,SLC12A2,AP3D1,,,DENND1A,SLC7A1
,,,,,,NACC2,RCC2,,,CEP41,TMEM68
,,,,,,MRPL16,NBEA,,,PNPLA6,HYOU1
,,,,,,AFAP1,PSMG1,,,DSCR3,PELI2
,,,,,,BC030336,PHKG2,,,PHF6,METAP1D
,,,,,,ABCD3,MICU1,,,PRR12,YLPM1
,,,,,,HDAC3,SNX13,,,ZSCAN26,INPP4B
,,,,,,SREBF1,MNAT1,,,DIRC2,NHLRC2
,,,,,,KBTBD3,FOXO3,,,GTF3C3,ATXN2
,,,,,,NUDT19,FYCO1,,,HCFC2,MICU3
,,,,,,NFS1,CRYBB3,,,RGL3,CLPX
,,,,,,CTR9,BCL9L,,,CDK13,SERINC5
,,,,,,MTIF2,GM9803,,,POLR3B,RCC2
,,,,,,CHST12,IPO8,,,STAT5B,CAD
,,,,,,PIGC,CDK13,,,ARIH2,RNF19B
,,,,,,OSBPL8,NFYA,,,CDK10,TAOK3
,,,,,,GNPTG,COG4,,,HOXB5,RBPJ
,,,,,,GPATCH11,IARS2,,,MADD,MTSS1L
,,,,,,GLYR1,KREMEN1,,,SIRT6,CYLD
,,,,,,MAML1,GPR180,,,GIGYF1,C330007P06RIK
,,,,,,CSNK1G1,ABCC5,,,CNNM3,AATK
,,,,,,AGPAT3,CHCHD5,,,ERBB2,SMAD2
,,,,,,FZR1,ATRN,,,NDST2,FAM98B
,,,,,,AP1AR,CREB1,,,RRP36,TRIM24
,,,,,,ADPGK,AK6,,,ZFP217,PFAS
,,,,,,PSTK,KIF1BP,,,SLC35A3,CHAMP1
,,,,,,SLC4A7,RILPL2,,,ZYG11B,CLASP2
,,,,,,COL4A3BP,CASP7,,,MCM4,CUL7
,,,,,,PPFIA1,PPWD1,,,5031439G07RIK,CEP89
,,,,,,DECR1,ATP6V0A1,,,UROS,MAN2A2
,,,,,,MMADHC,ABT1,,,ZFP867,PLXNA4
,,,,,,NFKB2,TIMM9,,,FICD,DPY19L1
,,,,,,CUTC,CMC1,,,PLXNA1,HMBS
,,,,,,JMJD8,MFN2,,,PELP1,SLC25A12
,,,,,,SLC35B3,CMPK2,,,TMEM177,MILL2
,,,,,,MYEF2,GTF3C1,,,ENTPD7,THUMPD3
,,,,,,SCRIB,GPD1L,,,WDR76,NYNRIN
,,,,,,TMEM263,DNTTIP1,,,HAUS1,TMEM260
,,,,,,PPIL1,JMY,,,GOSR1,TAF1
,,,,,,KPNA2,RINT1,,,MPP5,PLEKHM3
,,,,,,RABIF,ZDHHC4,,,PDCD7,AIMP2
,,,,,,RELB,TRAPPC2,,,LMBR1,CMC4
,,,,,,ANGEL2,ZMYM2,,,MDN1,WDR75
,,,,,,WBP1,DKC1,,,VEZT,DENND1B
,,,,,,PDCD11,1810030O07RIK,,,BUD13,WDR34
,,,,,,GOLPH3,PLEKHA5,,,IREB2,GABPB2
,,,,,,CEP350,CKAP4,,,AGR2,NAPEPLD
,,,,,,HIVEP1,CDC14A,,,STXBP5,TET1
,,,,,,TOM1L2,ABHD14A,,,TXNDC11,EFCAB2
,,,,,,PRRC1,SMARCAD1,,,SHMT2,FMO5
,,,,,,VPS54,TRP53INP1,,,FITM2,ARMC6
,,,,,,AI413582,KLHDC10,,,TRIM68,SBF1
,,,,,,NUDT21,KHSRP,,,GTPBP1,FAM49A
,,,,,,PRPF31,PAPD7,,,LTV1,TMA16
,,,,,,NFATC3,MRTO4,,,ZBTB18,CEP295
,,,,,,GM16499,LATS1,,,LIN52,GAB2
,,,,,,GABPA,BCAT2,,,ABCD4,SEC23IP
,,,,,,YAE1D1,PPP2R5B,,,AATF,MTMR4
,,,,,,PYURF,RPRD1B,,,SIRT1,HOXB3OS
,,,,,,TMEM126B,SLC25A39,,,3110062M04RIK,TRIO
,,,,,,NCOA6,BOLA1,,,ADAMTS4,LEO1
,,,,,,SH3BGRL2,CHCHD4,,,ZFP65,SIRT5
,,,,,,MT-ND6,MTHFS,,,ARPIN,ERMP1
,,,,,,ORMDL3,IDH3A,,,TIMM9,FGD6
,,,,,,AHCYL1,TNIP1,,,TECPR2,SREBF2
,,,,,,CHM,ATPAF2,,,POMT2,TMEM87A
,,,,,,SERTAD3,CISD3,,,MTHFR,PHYKPL
,,,,,,SYNRG,NUDT16L1,,,CEP192,EHBP1
,,,,,,MAN1B1,LIAS,,,KLHL42,CARF
,,,,,,RPP14,MADD,,,ZER1,THUMPD1
,,,,,,CARNMT1,ACADSB,,,SAP30BP,MDM1
,,,,,,STOX1,PREB,,,CYP2U1,LPIN1
,,,,,,RXRB,SMG7,,,GM14296,FAM222B
,,,,,,BMP4,ZYG11B,,,SAMD1,FOXJ2
,,,,,,FOPNL,ZMIZ2,,,ZBTB39,LYSMD3
,,,,,,CLK2,2810004N23RIK,,,TRIQK,DNAJC25
,,,,,,GALT,TTC5,,,RCOR3,GGA2
,,,,,,ARMCX1,SLC30A7,,,TTC37,DPY19L4
,,,,,,TMEM65,HEXIM1,,,GTPBP10,LYAR
,,,,,,TM7SF3,SFSWAP,,,ZBTB48,GCSH
,,,,,,DYRK1A,BLCAP,,,BTBD7,TMEM216
,,,,,,USP47,FRMD8,,,AHI1,VPS39
,,,,,,OPTN,BTBD2,,,SLC22A17,RAI1
,,,,,,C87436,CCDC43,,,GM26853,TBC1D16
,,,,,,RNF168,AP4S1,,,WDR13,UPP2
,,,,,,WRNIP1,VEZT,,,HIF1AN,POLR3E
,,,,,,AGPAT1,MSL3,,,GINS3,NNT
,,,,,,AMN1,MUT,,,MRGPRE,NSMAF
,,,,,,EIF2B1,PRR12,,,PTPRS,COX18
,,,,,,RNF34,MRPL10,,,ERCC3,YTHDF3
,,,,,,CCDC107,TRP53I13,,,BACH1,CEP57
,,,,,,MEAF6,NICN1,,,STX18,DUBR
,,,,,,RAI1,PCNT,,,AP5Z1,ELP3
,,,,,,PXMP4,ATP6V1C1,,,MSH3,HAUS8
,,,,,,AIFM1,SMAP2,,,PPHLN1,ZDHHC21
,,,,,,TTC39B,SNX27,,,ASB3,A130010J15RIK
,,,,,,SCO2,DRG2,,,SEC24A,KDELC1
,,,,,,BORCS8,OLA1,,,TMEM62,NADK2
,,,,,,AP4M1,SH3D19,,,MMP11,UPF3B
,,,,,,HADH,PLAA,,,GLMN,BRD8
,,,,,,SKIV2L,MRPL49,,,SPG11,FBXO17
,,,,,,MFN1,TRIB3,,,PHC1,DCUN1D4
,,,,,,SRM,CCDC91,,,AAED1,GHR
,,,,,,SMURF2,DMTF1,,,MTFP1,DMTF1
,,,,,,RPRD2,RCOR3,,,TTC21B,C330018D20RIK
,,,,,,PMPCA,DLAT,,,PLA2G6,MFN2
,,,,,,KLC4,PHRF1,,,VASH1,CBWD1
,,,,,,JDP2,SYVN1,,,PLOD2,BCS1L
,,,,,,ACD,ZDHHC6,,,SESN2,TEP1
,,,,,,RAB8B,SART3,,,2810402E24RIK,TXNDC16
,,,,,,MANBAL,HOXB3OS,,,PIGN,HACE1
,,,,,,SLC7A7,IPO9,,,CCDC84,2700062C07RIK
,,,,,,EXOC8,TTC1,,,FNTB,MPV17L
,,,,,,ABL2,SLC30A5,,,POU6F1,ARHGEF6
,,,,,,RNF213,COMMD9,,,FRS2,NCBP1
,,,,,,SNAI2,HERC4,,,PHKG1,44075
,,,,,,TSTA3,MEN1,,,MCOLN1,VPS13C
,,,,,,GMPPA,BTRC,,,,ZFP512B
,,,,,,CCDC97,PRKRIP1,,,,TBC1D24
,,,,,,PPTC7,PEF1,,,,MLST8
,,,,,,EXOC4,POP4,,,,LOCKD
,,,,,,PIAS1,ZNFX1,,,,KANSL1L
,,,,,,DGKA,ZFYVE27,,,,ME1
,,,,,,DAP3,IRF2BP1,,,,ARMC9
,,,,,,D5ERTD579E,ZFP384,,,,RHBDD3
,,,,,,LARP4,NOL12,,,,COQ4
,,,,,,DCHS1,FAM8A1,,,,CSGALNACT2
,,,,,,PGPEP1,ZNHIT3,,,,POP4
,,,,,,GMEB2,D10JHU81E,,,,TCF7L2
,,,,,,HTRA2,ZWINT,,,,SLC29A3
,,,,,,LENG1,POP7,,,,CEBPA
,,,,,,UFSP2,GOLT1B,,,,ELAC1
,,,,,,PI4KA,CWC25,,,,CDK5RAP2
,,,,,,PEX3,RGL2,,,,PSPC1
,,,,,,RAB3GAP1,PIAS2,,,,ATAD2B
,,,,,,RNPC3,METTL7A1,,,,TTF2
,,,,,,NUP50,CEP170,,,,POMT1
,,,,,,MCUR1,NPC1,,,,AI480526
,,,,,,SNCAIP,METTL5,,,,PTBP2
,,,,,,DNMT1,ARHGAP12,,,,RNF24
,,,,,,NCK2,POFUT1,,,,2010315B03RIK
,,,,,,ELP2,POLE3,,,,CHM
,,,,,,SPG20,WDTC1,,,,ZFP346
,,,,,,BC017643,NOLC1,,,,PIGH
,,,,,,MT1,ZC3H11A,,,,MCM7
,,,,,,PPP2R3D,ANKRD40,,,,SNX33
,,,,,,BMS1,PRPF4,,,,HSF2
,,,,,,MFSD5,WRN,,,,POLR1B
,,,,,,SAP30L,SC5D,,,,CTU1
,,,,,,BC029722,G6PC3,,,,PIGB
,,,,,,FOXK1,BPTF,,,,DHX9
,,,,,,MINK1,ATG16L1,,,,BBS5
,,,,,,SLC35F5,NXPE2,,,,ZBTB43
,,,,,,OPHN1,EXOC6B,,,,ANAPC1
,,,,,,PRKAA1,CDIP1,,,,ZFP9
,,,,,,ANKIB1,RBMX,,,,FASTKD1
,,,,,,TMEM199,FOXN2,,,,RPAP2
,,,,,,CMAS,RFWD2,,,,OGFOD1
,,,,,,FAM193B,AAR2,,,,MTERF1A
,,,,,,MMS19,ZKSCAN1,,,,L3MBTL3
,,,,,,FARSB,VANGL1,,,,REPIN1
,,,,,,GM10053,STOML1,,,,ZFP738
,,,,,,GBF1,AGL,,,,MBD5
,,,,,,HARS,HLTF,,,,WARS2
,,,,,,EXOSC5,CDKN2C,,,,MEX3B
,,,,,,NELFE,ZFP444,,,,SUCO
,,,,,,CYP2J6,SNAPC3,,,,CAPN15
,,,,,,LDLRAD3,PHF12,,,,SCYL3
,,,,,,MRPS9,ABHD14B,,,,ALG6
,,,,,,AIMP2,FUNDC1,,,,MXD1
,,,,,,RGP1,DEXI,,,,DIS3L
,,,,,,TIMM21,TRAPPC8,,,,TUBGCP6
,,,,,,USP33,USP10,,,,MTTP
,,,,,,NPRL2,SPCS3,,,,RDH13
,,,,,,CCDC137,BAP1,,,,AGBL3
,,,,,,SMARCC1,OSTM1,,,,MRS2
,,,,,,WDR73,TMEM107,,,,MRM1
,,,,,,EDC3,UTP18,,,,GM5141
,,,,,,ALAD,IRAK4,,,,MCCC2
