batch,barcode,genotype,media,replicate,culture,condition,A,K,P,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,116Cd_GFP,127I_IdU,141Pr_pPDPK1_S241,142Nd_cCaspase 3_D175,143Nd_C-MYC_1,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,152Sm_pAKT_T308,153Eu_pCREB_S133,156Gd_pNF-kB p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38 MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_cCaspase 8_D387,173Yb_Cyclin B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA 1,193Ir_DNA 2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28
B2,73,AKP,Ctrl,1,AKP_Ctrl,B2_AKP_Ctrl_1,1,1,1,0.10959734421369549,0.13890809030343143,0.08796022485993601,-0.02703301024350535,-0.19913526848289662,0.04362518300531418,0.06991030518801368,0.028723822876356712,0.09021566005624983,0.07226811217541648,0.022189772071452424,-0.01268274151382476,0.09170174135559257,0.03267705288607719,0.05031257285445387,0.13221113590793426,0.06081960645991331,0.05544016057650713,0.0340655661331499,0.04053981525650667,0.06498350448863402,0.13141851302153734,0.1398276558004321,0.09671808540940871,0.051403869170748656,0.11818369739639134,0.06012440862474416,0.08833239700712177,0.06587927697107686,0.1856595557510717,0.05596104735130033,0.06621132965292525,0.05223846160569022,0.07651481628524139,0.03670130051414071,0.03408098808930253,0.038130201871321004,0.06748239572359568,0.06780363598587946,-0.15582791577693927,0.07761815628916793,0.030541433586740892
B2,74,AKP,Ctrl,2,AKP_Ctrl,B2_AKP_Ctrl_2,1,1,1,-0.22376632520595857,-0.14420193975498835,-0.031387092549485934,-0.06082315427949991,0.20988744949652824,-0.11874633305551294,-0.11578126504924406,-0.04247586568081249,-0.13046760979894423,-0.11720415342884798,-0.06331629101692586,-0.02964973061877602,-0.08471598302381228,-0.054307148760764416,-0.07096897837103468,-0.1956286533055276,-0.06555991121823145,-0.10194584447532726,-0.055136823326652915,-0.08066390467857552,-0.08925734047754677,-0.14709185348746856,-0.129619934796252,-0.12957104197887984,-0.07136880624152575,-0.1365612680584134,-0.08917014038979032,-0.1494189687404577,-0.08130460814279422,-0.18290079941864662,-0.08249705028707517,-0.08695170360831589,-0.07418643410600731,-0.05249092452797266,-0.07611174842035952,-0.04742793118557593,-0.05883413760821887,-0.09566164035946546,-0.09624600750631716,-0.05620439031552422,-0.10521748347907661,-0.054984117631233016
B2,75,AKP,Ctrl,3,AKP_Ctrl,B2_AKP_Ctrl_3,1,1,1,0.10526319530727309,-0.03892336864735132,-0.11609582242471739,0.08834787940666047,0.1284479914102182,0.07801401433684998,0.03924858197421435,0.016709723262966013,0.02938347229815274,0.03774033274759349,0.052523496549831225,0.039616141355377055,0.038085194452950805,0.024703948379730396,0.02397557411356119,0.04542799358393442,-0.026683846869682865,0.047480663144201435,0.039358092163885486,0.050692532568887734,0.029011219587336122,0.028089479435998786,-0.05770746587966448,0.03406259526150304,0.027666338136759033,0.034454228626574435,0.030162605630827517,0.05130161272811765,0.018997935774518377,-0.04797922770797144,0.03320544765311714,0.026944415584129557,0.021285716640303008,-0.05141568521778127,0.04104282542352962,0.02475615666651307,0.02493465095562699,0.02626274993113143,0.027304416060472406,0.2580417405271469,0.030693780074782274,0.03218082508570047
B2,79,AKP,WNT3A,1,AKP_WNT3A,B2_AKP_WNT3A_1,1,1,1,0.264919448534064,0.027300016293607732,0.3629657907075749,0.06844653266072823,-1.0450508660052937,-0.16370613561269526,0.031142467435067635,-0.023527001475851274,0.15273345079592218,-0.033195670004780756,0.030800399113624068,0.15619027469746655,-0.1644054981984593,-0.058336743920172365,0.02068212883374416,-0.0836811533155832,0.10737166762295494,-0.032894742846625136,-0.04307396056725301,-0.11358010777958522,-0.0860931598296119,-0.03680676615967676,-0.27676018614951325,-0.06950434502480562,-0.07761820509158705,-0.018216988446400864,0.02811384900762575,-0.0902173833670918,0.06245369150471134,0.09974642869201056,0.04311442539551953,-0.0881130485782219,0.01485816012981287,0.09102191832036197,0.3494509695488379,-0.09801669505168897,0.027283437617829486,-0.020602719569662642,-0.019276021482290878,0.19023953383557582,0.12065595536504733,-0.04886426916756656
B2,80,AKP,WNT3A,2,AKP_WNT3A,B2_AKP_WNT3A_2,1,1,1,0.4742359829852536,0.19093781052906605,0.5560681957100477,0.09713332689899246,-0.7191545246722533,-0.03412035171324693,0.10862259790222002,0.020127473336018525,0.19192111888603805,0.13711471834911454,0.08661212735331318,0.21576158311076923,-0.04930398983578862,0.050385543893456064,0.10396153594653196,0.13434996382055236,0.20217768827504756,0.08065370079400627,0.060150102320071286,0.06573439615341707,0.051403689252765006,0.1348990821158294,-0.056456605510503285,0.10271196801474518,0.05121748243742932,0.16091291800852991,0.14686843205985511,0.10244283520542394,0.1224568798032573,0.27276544742792636,0.13867205265707122,-0.02547977902382914,0.11314152849083675,0.3095501037411771,0.4448637653016966,0.026644254668537093,0.11376248306371742,0.08217271486567923,0.08231009415828319,0.27833821798028,0.15287310101950827,0.04934756695345841
B2,81,AKP,WNT3A,3,AKP_WNT3A,B2_AKP_WNT3A_3,1,1,1,0.6637654280854435,0.1640322819350483,0.536117031589826,0.26009748090484225,-0.4773606326181218,0.09905779583742197,0.23023536690738228,0.09024264414172861,0.17519680274537897,0.20653212478256439,0.2533320415910466,0.336451442076907,0.041042250149093934,0.12637194255960718,0.22709561231036876,0.13687759820604095,0.3033975484407651,0.18427072120086044,0.12313251987542798,0.21953194135171245,0.10405995332761364,0.08474087568748545,-0.14368559889470908,0.09971053815209084,0.15005876632270504,0.16772024216241305,0.18403084698206534,0.15072524754493177,0.21865277276158282,0.13345348979392935,0.20464580855603998,0.11882889560070518,0.20167799887405313,0.39968204238298943,0.5645239610625666,0.20136483098029284,0.1747828988351914,0.12546911164329752,0.12094343296224389,0.48109728783882255,0.15289454954392379,0.17277014637380245
B2,82,AKP,EGF,1,AKP_EGF,B2_AKP_EGF_1,1,1,1,-0.07572439764201659,0.04260989566665952,0.29653167942641034,-0.25881041064722204,-0.49634998699127353,-0.26986382049640906,-0.28763026121324603,-0.15775192662589058,-0.05162959668091734,-0.19444575963729704,-0.2712698172979436,-0.1443665497937378,-0.2221471601615025,-0.09383558022341175,-0.08984860319886023,-0.04923993186016625,-0.07561142127082303,-0.1238530286144435,-0.07512362175225698,-0.21057786214944035,-0.11723334325541085,-0.1577396588087814,-0.2283767579457201,-0.1520181485082637,-0.20064090335914445,-0.12336999361729771,-0.1203662206643823,-0.33700821835247996,-0.15569156852447144,0.039116411047467194,-0.14449221549707636,-0.227612227009817,-0.2108095644106406,-0.2416011558078445,-0.0966453081823992,-0.2164386991357283,-0.1391956241750532,-0.09477744743242614,-0.09192794065137984,-0.3674902719626827,0.030589859097704,-0.08446052386735023
B2,83,AKP,EGF,2,AKP_EGF,B2_AKP_EGF_2,1,1,1,0.18485921022853602,0.04533069306946873,0.21005042943132024,-0.1967817469133334,-0.6737359445768453,-0.27105014333384064,-0.23839297714021293,-0.14289303453735522,-0.050377701087931034,-0.16660669962590496,-0.25036069786308246,-0.12054327616251954,-0.14055696467820655,-0.09334062894915603,-0.08339393709502389,-0.12037270226302954,-0.1396084554679145,-0.14393646888560968,-0.10883138221656541,-0.22910191756029286,-0.1778584760796814,-0.12382092440340005,-0.14012814639870308,-0.13889904898270233,-0.16374471493181122,-0.17656420074377152,-0.12776001618555666,-0.3525464311984349,-0.14310599462612056,0.14518663088297978,-0.11665430285470442,-0.1988786031065144,-0.15785808635376827,-0.2968440987258144,-0.12220745523996446,-0.19955663557817518,-0.12770542622501346,-0.09749882336293751,-0.09660858385468554,-0.14828050998597314,-0.06191661484965062,-0.057284945536516384
B2,84,AKP,EGF,3,AKP_EGF,B2_AKP_EGF_3,1,1,1,0.13558607343833212,0.10870922270415005,0.23928385840403912,0.03518891393817248,0.28270156828218457,-0.07989108794025071,-0.09590348319301747,-0.03577131111546253,-0.017394245002329944,-0.0339805097888306,-0.044112662385837484,0.04423736893002959,-0.09818649680644183,0.07069366818351222,0.10189047371503399,0.05827573314512728,0.07411429429673573,0.04577238865779876,0.06947458019442525,0.08821510937361952,0.045907339600757754,-0.04391660107803361,-0.15465679700301949,0.04188427267247203,0.02671048270819038,-0.03360278369706983,-0.017633914939150674,-0.10872508075191106,-0.03186058824412707,0.04311517705227526,0.022473792108101333,-0.03464558563616961,-0.04024348392305278,0.07306023017631229,0.035125299933065894,0.0713383667741509,0.031235560110011076,0.02792831917005198,-0.02420282720398124,0.24406146431284792,0.09944099738313522,0.05248782580217778
B2,85,AKP,WNT5A,1,AKP_WNT5A,B2_AKP_WNT5A_1,1,1,1,-0.06527091121519031,0.16630631835428372,0.17950775263877883,-0.19160222617907285,-0.8867848592979336,-0.20547700045064946,-0.1059329192852542,-0.0707891251863117,0.13811870021868847,-0.04436087973693435,-0.16425435071264421,-0.11347880332098459,-0.08323214983920668,-0.1290943506775042,-0.08300092753335848,0.11947256066177361,-0.12881244810786857,-0.0769944226131701,-0.1267312285529192,-0.21454753495297463,-0.09783925837709974,0.07868175287818294,-0.09813901259577648,-0.07488982353299653,-0.11220232778773659,0.02834849213159337,-0.02648475619323074,-0.10469291726305871,-0.026865686458778598,0.1823061329269383,-0.018020903451151433,-0.14539477842232645,-0.056148722069442936,-0.035592663429512686,-0.04899486004873278,-0.15101238990985222,-0.06203798517596969,-0.07255415844185845,-0.06782815243795626,0.07359345423805004,-0.1267474904369998,-0.06111055847285626
