replicate,162Dy_LRIG1_1,174Yb_Clusterin_1,pro_vs_rev,pro_vs_rev_log2,genotype,culture,ligand,inhibitor
1,3.1698436314930043,0.827404659149461,6.3430404585156746,2.2465392688181374,AK,AK_EREG-CHIR99021,EREG,CHIR99021
2,3.0118567874137843,0.806096465818759,6.319543590665349,2.2211541615876156,AK,AK_EREG-CHIR99021,EREG,CHIR99021
3,2.8770826118012134,0.7943149399332154,6.15437723986332,2.174207019254785,AK,AK_EREG-CHIR99021,EREG,CHIR99021
1,3.3053306857570006,0.8728854700789246,6.1356411101256265,2.2171253074562873,AK,AK_EREG-Ctrl,EREG,Ctrl
2,3.356174673548355,0.9071925482760737,5.930838133022402,2.1684836541609576,AK,AK_EREG-Ctrl,EREG,Ctrl
3,3.3599117999024104,1.01048483907313,5.350531765052379,2.015799076952613,AK,AK_EREG-Ctrl,EREG,Ctrl
1,3.3120229932413325,1.0955901979397626,4.752560944898546,1.8364866088829384,AK,AK_EREG-Dasatinib,EREG,Dasatinib
2,3.562029075128152,1.0698126770964396,5.240497841116068,1.9843383161169537,AK,AK_EREG-Dasatinib,EREG,Dasatinib
3,3.466813267682372,1.038601445733372,5.433691487054758,2.010770431375979,AK,AK_EREG-Dasatinib,EREG,Dasatinib
1,3.294199381634048,1.4528183438088156,3.566064122804234,1.4106401456064577,AK,AK_EREG-GDC0941,EREG,GDC0941
2,3.097113516858171,1.3252458530173639,3.812651592416719,1.474657838707956,AK,AK_EREG-GDC0941,EREG,GDC0941
3,3.0166317065839157,1.3960575448016659,3.571191796750932,1.3596351626703387,AK,AK_EREG-GDC0941,EREG,GDC0941
1,3.2070533132461767,1.0502016327757286,4.80486848109232,1.8758121551594888,AK,AK_EREG-ICG001,EREG,ICG001
2,2.6852423191750376,1.006508604472262,4.469164067832916,1.7164929642102855,AK,AK_EREG-ICG001,EREG,ICG001
3,2.901848625625851,1.0472826958487946,4.499885730478295,1.755737910015415,AK,AK_EREG-ICG001,EREG,ICG001
1,3.0969017097605973,1.5523557847020377,3.0647814814330228,1.1757132497295804,AK,AK_EREG-PF573228,EREG,PF573228
2,2.989549216271053,1.4795403632955626,3.0116046551172926,1.1877456219889344,AK,AK_EREG-PF573228,EREG,PF573228
3,2.8001025517296476,1.5561008029265642,2.8371900845586855,1.016821245793498,AK,AK_EREG-PF573228,EREG,PF573228
