Supplementary Table 6. Gene signatures used throughout the study.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
GSEA name,MUNOZ LGR5 SIGNATURE,MUSTATA FETAL SPHEROID UPREGULATED,Label Retaining Cells,Revival Stem Cells,Enteroendocrine,Paneth Cells,Mucosecreeting,Crypt proliferation,Mex3a signature Barriga et al.,Secretory Progenitors,Goblet,Lgr5 Signature,ki67 (HI vs low) signature,Human LGR5-Hi / MEX3A-Hi signature,Human Lgr5-HI / Mex3a-Low signature,YAP direct targets
,DDO,Slc45a3,MDM1,,,,,CDC2,EMP2 ,,,,CDKN3,KIAA1324,CKAP2,
,DYNC2H1,Efna5,HMGXB4,,,,,CDC45L,EPHA4 ,,,,ASPM,FBXO2,KIFC1,
,E230029C05RIK,Anxa8,CD44,,,,,CDC6,EXOC6B ,,,,PSRC1,TEAD2,NOX1,
,ELL3,1700007K13Rik,BECN1,,,,,CDC7,EXOSC10 ,,,,KIF23,CHD6,TK1,
,EMP2,Acsm3,ATL1,,,,,CDCA2,EXT2 ,,,,PCSK6,CDKN1C,CDCA8,
,EPHA4,Ppic,SMG6,,,,,CDCA5,FAM115A ,,,,OSCP1,AKR1C3,KIF20B,
,EPHB3,Anxa3,FBXO38,,,,,CDCA7L,FAM222A ,,,,SLC28A3,TNFRSF12A,ECT2,
,ESAM,Eda2r,ZDHHC14,,,,,CDK2,FANCG ,,,,NRARP,PMEPA1,MCM7,
,ESRRG,S100a6,EPHB4,,,,,CELSR2,FGFR4 ,,,,CENPA,HPCAL1,RANBP1,
,EVL,Ldh2,TMEM43,,,,,CENPA,FGFRL1 ,,,,ALPP,HSPA2,CDCA2,
,FARP1,Ly6c,GRK5,,,,,CENPE,FOXN3 ,,,,ALPP,PLK2,CENPW,
,FBXO21,Efemp1,CADPS,,,,,CENPF,GM10071 /// RPL13 ,,,,ALPP,NGFRAP1,TUBA1C,
,FGFR4,Ddit4l,SSH2,,,,,CENPI,GM15247 ,,,,SHCBP1,FOXA2,SPC25,
,FMNL2,Pdzk1ip1,PLCE1,,,,,CENPN,GM16740 ,,,,ARHGEF39,ITGB8,KIF18A,
,FSTL1,Ly6d,NR4A1,,,,,CENPP,GM17250 ,,,,ANLN,AKAP12,CEP55,
,FZD2,2310002J15Rik,ENOX2,,,,,CEP192,GM8096 /// PHGDH ,,,,HMMR,KLF4,SGOL1,
,GAS6,Cugbp2,RFX6,,,,,CEP55,GM996 ,,,,PARPBP,AREG,UBE2T,
,GKAP1,Laptm5,CDK5RAP2,,,,,CEP76,GTF2F1 ,,,,TLR1,HOTAIRM1,ASPM,
,GKN3,Plekhs1,TSEN2,,,,,CEP97,HMGCS2 ,,,,CDC25C,FHL2,CKS1B,
,GPLD1,Dscr6,PTGFRN,,,,,CHAF1B,HS2ST1 ,,,,CCNF,MLLT11,ANLN,
,GPER,Hs6st2,PTPRG,,,,,CHEK1,HSD17B14 ,,,,AURKA,AZGP1,KIF2C,
,GRAMD1A,,TRRAP,,,,,CHTF18,IFT27 ,,,,PRC1,MALAT1,PBK,
,HUNK,,DROSHA,,,,,CKAP2L,IGF1R ,,,,CENPF,KLF6,PRC1,
,IGFBP4,,GNAO1,,,,,CKLF,IKBIP /// LOC100862563 ,,,,GSDMC,DST,DEPDC1,
,IL17RD,,ABCA1,,,,,CKS1B,INPP5F ,,,,SPC25,DPYSL3,HMGB1,
,IMMP2L,,MYNN,,,,,CLCA4,KCNQ1OT1 ,,,,KIF2C,MFAP2,HMGB3,
,IRS1,,S100PBP,,,,,CLSPN,KDM5A ,,,,KIF14,CXCL12,HJURP,
,KCNE3,,UNC13B,,,,,CNN3,KIF12 ,,,,EFCAB11,PRSS22,CKS2,
,KLHL8,,,,,,,CP110,KIF1C ,,,,PRR11,PVRL1,KIF23,
,LARGE,,,,,,,CTPS,KIF2A ,,,,KIF22,TMEM176A,DLGAP5,
,LGR5,,,,,,,CYP39A1,LAMC1 ,,,,ARHGAP19-SLIT1,MMP11,SGOL2,
,LIPT2,,,,,,,D17H6S56E-5,LBH ,,,,ARHGAP19-SLIT1,ADM,TUBB,
,MAN2A2,,,,,,,DACH1,LIMK2 ,,,,GSDMC,CLDN4,AURKB,
,MEX3A,,,,,,,DCAF12L1,LOC101243624 ,,,,PLK1,SCNN1A,TTK,
,MIA1,,,,,,,DCK,LPHN1 ,,,,,CLDN3,MAD2L1,
,MPP3,,,,,,,DCTD,LYZ1 ,,,,,IFI6,PCNA,
,MSI1,,,,,,,DDX11,LYZ2 ,,,,,GUCA2A,KIAA0101,
,MYC,,,,,,,DEPDC1,MAD2L2 ,,,,,ANXA13,NUF2,
,MYCL1,,,,,,,DIAPH3,MAN2A2 ,,,,,DLL1,NEK2,
,NAP1L1,,,,,,,DKC1,MBD4 ,,,,,TUBB2B,GTSE1,
,NAPEPLD,,,,,,,DLGAP5,MED24 ,,,,,WFDC2,MKI67,
,NOTCH1,,,,,,,DNA2,MFGE8 ,,,,,TFF3,BORA,
,TC1677245,,,,,,,DNAH11,MID1 ,,,,,LRRC26,KNSTRN,
,PHLDB2,,,,,,,DNAJC18,MSI1 ,,,,,RBP1,CENPF,
,PLA2G4A,,,,,,,DNMT1,MTR ,,,,,MARCKSL1,CENPE,
,PLEKHB1,,,,,,,DSN1,MYL6 ,,,,,FN1,CCNA2,
,PLXNB1,,,,,,,DTL,NAV2 ,,,,,PLEKHB1,CDCA3,
,POGK,,,,,,,DUS4L,NOLC1 ,,,,,MMP7,PTTG1,
,PPAP2B,,,,,,,DUSP7,NR2E3 ,,,,,PRAP1,FAM83D,
,PRELP,,,,,,,DUT,PACS1 ,,,,,PHLDA2,HMGB2,
,PRKD3,,,,,,,E2F1,PDAP1 ,,,,,PCBP4,NUSAP1,
,PSD3,,,,,,,E2F7,PDE7A ,,,,,RP11-401P9.4,CDK1,
,PSRC1,,,,,,,ERCC6L,PHF14 ,,,,,HOXA10,BIRC5,
,PTPRO,,,,,,,ESCO2,PHF3 ,,,,,COL9A3,TUBA1B,
,PTPRS,,,,,,,ESPL1,PHGDH ,,,,,GPRC5A,RRM2,
,RAD51L1,,,,,,,EXO1,PITPNC1 ,,,,,DNAJC12,HMMR,
,RASA3,,,,,,,EXOSC2,PNLIPRP2 ,,,,,PLCG2,CDC20,
,RGMB,,,,,,,EXOSC8,PPIG ,,,,,NREP,TOP2A,
,RGS12,,,,,,,FADS1,PTPRS ,,,,,TACSTD2,CDKN3,
,RNF32,,,,,,,FAM111A,RAD50 ,,,,,H1F0,TPX2,
,RNF43,,,,,,,FAM54A,RASSF10 ,,,,,SPINK1,CCNB2,
,SCN2B,,,,,,,FAM72A,RGS12 ,,,,,PHLDA1,PLK1,
,SECTM1B,,,,,,,FANCB,RPRD1A ,,,,,REP15,CENPA,
,SEMA7A,,,,,,,FEN1,RSRC2 ,,,,,ZNF91,CCNB1,
,ENSMUST00000102660,,,,,,,FGR,40422,,,,,TSC22D1,AURKA,
,SFRP5,,,,,,,FIGNL1,SERF1 ,,,,,PROX1,UBE2C,
,SHISA2,,,,,,,FOXM1,SIRT5 ,,,,,,,
,SLC19A2,,,,,,,FTSJD1,SLC29A1 ,,,,,,,
,SLC23A3,,,,,,,GEMIN4,SLC41A1 ,,,,,,,
,SLC27A2,,,,,,,GEMIN5,SLC44A2 ,,,,,,,
,SLCO3A1,,,,,,,GEN1,SORCS2 ,,,,,,,
,SMO,,,,,,,GINS1,SOX4 ,,,,,,,
,SNX10,,,,,,,GINS2,SPICE1 ,,,,,,,
,SORCS2,,,,,,,GINS3,STK3 ,,,,,,,
,SOX4,,,,,,,GLS2,TCF3 ,,,,,,,
,SOX9,,,,,,,GSTCD,TCTN3 ,,,,,,,
,SP5,,,,,,,GTSE1,TLR2 ,,,,,,,
,SRL,,,,,,,HAUS4,TLX2 ,,,,,,,
,SYCN,,,,,,,HAUS5,TMEM107 ,,,,,,,
,TEAD2,,,,,,,HAUS6,TMEM132A ,,,,,,,
,TEX9,,,,,,,HELLS,TMEM206 ,,,,,,,
,TFPI,,,,,,,HEMGN,TNFRSF19 ,,,,,,,
,TGIF2,,,,,,,HMGA2,TRIM44 ,,,,,,,
,TMEM209,,,,,,,HMMR,TYROBP ,,,,,,,
,TNFRSF19,,,,,,,IFITM3,UBN1 ,,,,,,,
,TRIM44,,,,,,,IGF1R,WWOX ,,,,,,,
,TTC21B,,,,,,,ILF3,ZDHHC14 ,,,,,,,
,TTPA,,,,,,,INCENP,ZFP316 ,,,,,,,
,TXNDC16,,,,,,,IQGAP3,ZFP553 ,,,,,,,
,UTRN,,,,,,,KBTBD6,ZFP703 ,,,,,,,
,VAV3,,,,,,,KCNN4,ZFP787 ,,,,,,,
,WDR35,,,,,,,KIAA0101,ZFP865 ,,,,,,,
,WDR90,,,,,,,KIAA0649,ZSCAN2 ,,,,,,,
,ENSMUST00000108246,,,,,,,KIF11,,,,,,,,
,WWTR1,,,,,,,KIF18A,,,,,,,,
,ZFP12,,,,,,,KIF18B,,,,,,,,
,ZKSCAN17,,,,,,,KIF20B,,,,,,,,
,ZNRF3,,,,,,,KIF22,,,,,,,,
,ZRANB3,,,,,,,KIF24,,,,,,,,
,ACSM3,,,,,,,KIF2C,,,,,,,,
